報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024年14週(04月01日～04月07日),2024年04月10日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
山梨県,69,2.88,2,0.08,5,0.21,8,0.33,6,0.25,3,0.13,4,0.17,5,0.21,3,0.13,6,0.25,8,0.33,4,0.17,4,0.17,5,0.21,6,0.25
長野県,99,1.83,7,0.13,7,0.13,8,0.15,5,0.09,8,0.15,2,0.04,8,0.15,7,0.13,8,0.15,5,0.09,8,0.15,8,0.15,11,0.2,7,0.13
岐阜県,148,2.79,4,0.08,10,0.19,20,0.38,12,0.23,9,0.17,12,0.23,13,0.25,10,0.19,6,0.11,10,0.19,17,0.32,8,0.15,10,0.19,7,0.13
静岡県,254,2.85,6,0.07,20,0.22,12,0.13,19,0.21,15,0.17,17,0.19,17,0.19,12,0.13,24,0.27,22,0.25,21,0.24,22,0.25,24,0.27,23,0.26
愛知県,362,1.99,14,0.08,21,0.12,28,0.15,19,0.1,23,0.13,20,0.11,29,0.16,26,0.14,26,0.14,33,0.18,30,0.16,36,0.2,23,0.13,34,0.19
三重県,126,2.8,5,0.11,8,0.18,9,0.2,8,0.18,12,0.27,9,0.2,8,0.18,4,0.09,11,0.24,7,0.16,13,0.29,7,0.16,14,0.31,11,0.24
滋賀県,71,2.03,2,0.06,6,0.17,8,0.23,3,0.09,6,0.17,3,0.08,5,0.14,5,0.14,8,0.22,7,0.19,4,0.11,7,0.19,4,0.11,3,0.08
京都府,138,1.84,1,0.01,8,0.11,10,0.13,8,0.11,10,0.13,12,0.16,9,0.12,12,0.16,11,0.14,6,0.08,11,0.14,8,0.11,19,0.25,13,0.17
大阪府,466,2.37,19,0.1,36,0.18,32,0.16,31,0.16,30,0.15,28,0.14,39,0.2,32,0.16,44,0.22,30,0.15,38,0.19,31,0.16,31,0.16,45,0.23
兵庫県,319,2.49,13,0.1,27,0.21,31,0.24,19,0.15,13,0.1,13,0.1,15,0.12,26,0.2,27,0.21,23,0.18,24,0.19,26,0.2,27,0.21,35,0.27
奈良県,88,2.67,7,0.21,5,0.15,9,0.26,5,0.15,3,0.09,7,0.21,9,0.27,9,0.27,8,0.24,7,0.21,5,0.15,4,0.12,7,0.21,3,0.09
和歌山県,81,2.7,6,0.2,5,0.17,4,0.13,9,0.3,2,0.07,2,0.07,2,0.07,5,0.17,8,0.27,4,0.13,11,0.37,6,0.2,8,0.27,9,0.3
鳥取県,48,2.53,1,0.05,2,0.11,4,0.21,2,0.11,4,0.21,3,0.16,8,0.42,3,0.16,7,0.37,3,0.16,4,0.21,3,0.16,2,0.11,2,0.11
島根県,98,4.26,3,0.13,10,0.43,6,0.26,8,0.35,1,0.04,4,0.17,5,0.22,3,0.13,13,0.57,5,0.22,14,0.61,7,0.3,8,0.35,11,0.48
岡山県,128,2.37,4,0.07,16,0.3,11,0.2,8,0.15,8,0.15,8,0.15,13,0.24,6,0.11,12,0.22,6,0.11,7,0.13,7,0.13,10,0.19,12,0.22
広島県,175,2.54,8,0.11,10,0.14,15,0.21,16,0.23,13,0.19,10,0.15,4,0.06,11,0.16,13,0.19,11,0.16,14,0.2,14,0.2,21,0.3,15,0.22
山口県,166,3.86,7,0.16,11,0.26,12,0.28,8,0.19,12,0.28,12,0.28,15,0.35,8,0.19,14,0.33,15,0.35,10,0.23,16,0.37,16,0.37,10,0.23
徳島県,77,3.35,3,0.13,4,0.17,4,0.17,7,0.3,6,0.26,4,0.17,6,0.26,7,0.3,1,0.04,8,0.35,6,0.26,6,0.26,7,0.3,8,0.35
香川県,83,2.96,2,0.07,4,0.14,6,0.21,5,0.18,8,0.29,5,0.18,3,0.11,4,0.14,5,0.18,6,0.21,11,0.39,8,0.29,8,0.29,8,0.29
愛媛県,156,4.33,6,0.17,12,0.32,12,0.32,10,0.27,16,0.43,12,0.32,13,0.35,9,0.24,13,0.35,5,0.14,15,0.41,9,0.24,13,0.35,11,0.3
高知県,66,2.64,1,0.04,4,0.15,4,0.15,6,0.23,5,0.19,7,0.27,3,0.12,5,0.19,4,0.15,4,0.15,8,0.31,5,0.19,6,0.24,4,0.16
福岡県,509,4.24,26,0.22,41,0.34,36,0.3,37,0.31,39,0.33,34,0.28,35,0.29,31,0.26,29,0.24,38,0.32,44,0.37,38,0.32,41,0.34,40,0.33
佐賀県,125,5.43,3,0.13,9,0.39,11,0.48,7,0.3,6,0.26,7,0.3,6,0.26,9,0.39,11,0.48,8,0.35,14,0.61,15,0.65,10,0.43,9,0.39
長崎県,141,3.28,7,0.16,6,0.14,5,0.11,13,0.3,13,0.3,8,0.18,10,0.23,12,0.28,6,0.14,15,0.35,13,0.3,12,0.28,11,0.26,10,0.23
熊本県,264,5.28,12,0.24,26,0.52,21,0.42,25,0.5,25,0.5,19,0.38,19,0.38,12,0.24,18,0.36,11,0.22,14,0.28,16,0.32,25,0.5,21,0.42
大分県,209,5.81,11,0.31,16,0.44,14,0.39,17,0.47,13,0.36,15,0.42,12,0.33,12,0.33,18,0.5,16,0.44,13,0.36,17,0.47,18,0.5,17,0.47
宮崎県,172,4.78,13,0.36,6,0.17,11,0.31,12,0.33,10,0.28,10,0.28,13,0.36,10,0.28,16,0.44,14,0.39,13,0.36,11,0.31,23,0.64,10,0.28
鹿児島県,182,3.64,7,0.14,7,0.14,19,0.37,12,0.24,12,0.24,15,0.29,15,0.29,9,0.18,15,0.29,17,0.33,18,0.35,6,0.12,17,0.33,13,0.26
沖縄県,54,1.8,5,0.16,3,0.1,1,0.03,6,0.19,3,0.1,2,0.06,4,0.13,3,0.1,3,0.1,7,0.23,4,0.13,3,0.1,6,0.19,4,0.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,1111,0.35,66,0.02,75,0.02,93,0.03,92,0.03,84,0.03,64,0.02,53,0.02,93,0.03,103,0.03,81,0.03,63,0.02,70,0.02,77,0.02,97,0.03
北海道,17,0.12,1,0.01,1,0.01,1,0.01,3,0.02,0,0,0,0,0,0,4,0.03,5,0.04,1,0.01,0,0,0,0,0,0,1,0.01
青森県,6,0.16,0,0,1,0.03,1,0.03,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,2,0.05,0,0,0,0,0,0
岩手県,15,0.39,0,0,3,0.08,6,0.15,1,0.03,0,0,0,0,0,0,0,0,0,0,2,0.05,2,0.05,0,0,0,0,1,0.03
宮城県,7,0.13,0,0,1,0.02,0,0,1,0.02,1,0.02,0,0,0,0,1,0.02,0,0,0,0,0,0,3,0.05,0,0,0,0
秋田県,7,0.22,0,0,1,0.03,1,0.03,0,0,0,0,0,0,2,0.06,0,0,1,0.03,1,0.03,0,0,1,0.03,0,0,0,0
山形県,20,0.71,0,0,1,0.04,0,0,1,0.04,0,0,0,0,4,0.14,4,0.14,7,0.25,2,0.07,0,0,1,0.04,0,0,0,0
福島県,2,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,1,0.02,0,0
茨城県,34,0.45,3,0.04,3,0.04,5,0.07,3,0.04,2,0.03,2,0.03,0,0,1,0.01,4,0.05,4,0.05,1,0.01,1,0.01,2,0.03,3,0.04
栃木県,7,0.15,1,0.02,0,0,0,0,1,0.02,0,0,0,0,0,0,2,0.04,1,0.02,1,0.02,0,0,0,0,1,0.02,0,0
群馬県,30,0.57,0,0,0,0,4,0.08,1,0.02,1,0.02,1,0.02,0,0,2,0.04,5,0.09,2,0.04,2,0.04,2,0.04,3,0.06,7,0.13
埼玉県,28,0.17,2,0.01,4,0.02,2,0.01,1,0.01,3,0.02,2,0.01,0,0,1,0.01,4,0.02,1,0.01,0,0,2,0.01,1,0.01,5,0.03
千葉県,15,0.12,1,0.01,0,0,1,0.01,1,0.01,0,0,3,0.02,0,0,2,0.02,1,0.01,1,0.01,0,0,0,0,2,0.02,3,0.02
東京都,38,0.15,2,0.01,4,0.02,3,0.01,1,0,2,0.01,1,0,4,0.02,1,0,4,0.02,3,0.01,3,0.01,2,0.01,5,0.02,3,0.01
神奈川県,57,0.25,2,0.01,5,0.02,4,0.02,4,0.02,10,0.04,7,0.03,1,0,2,0.01,3,0.01,5,0.02,2,0.01,3,0.01,0,0,9,0.04
新潟県,11,0.2,1,0.02,1,0.02,1,0.02,1,0.02,1,0.02,0,0,0,0,1,0.02,1,0.02,1,0.02,0,0,1,0.02,2,0.04,0,0
富山県,40,1.43,5,0.17,5,0.17,5,0.17,4,0.14,2,0.07,2,0.07,2,0.07,4,0.14,4,0.14,0,0,0,0,3,0.1,0,0,4,0.14
石川県,6,0.21,1,0.04,0,0,1,0.04,0,0,0,0,1,0.04,0,0,0,0,1,0.03,1,0.03,1,0.03,0,0,0,0,0,0
福井県,8,0.32,1,0.04,0,0,0,0,2,0.08,0,0,0,0,0,0,0,0,1,0.04,1,0.04,3,0.12,0,0,0,0,0,0
山梨県,2,0.08,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04
長野県,12,0.22,1,0.02,0,0,4,0.07,0,0,0,0,1,0.02,0,0,0,0,3,0.06,0,0,1,0.02,1,0.02,0,0,1,0.02
岐阜県,13,0.25,0,0,1,0.02,2,0.04,0,0,1,0.02,0,0,3,0.06,2,0.04,0,0,1,0.02,0,0,2,0.04,1,0.02,0,0
静岡県,11,0.12,2,0.02,1,0.01,1,0.01,0,0,0,0,1,0.01,1,0.01,0,0,0,0,1,0.01,1,0.01,1,0.01,0,0,2,0.02
愛知県,18,0.1,1,0.01,0,0,2,0.01,2,0.01,1,0.01,1,0.01,0,0,1,0.01,3,0.02,2,0.01,1,0.01,0,0,1,0.01,3,0.02
三重県,20,0.44,1,0.02,0,0,0,0,1,0.02,4,0.09,0,0,1,0.02,2,0.04,0,0,0,0,2,0.04,2,0.04,5,0.11,2,0.04
滋賀県,14,0.4,0,0,1,0.03,0,0,1,0.03,3,0.08,1,0.03,1,0.03,0,0,1,0.03,0,0,0,0,3,0.08,2,0.06,1,0.03
京都府,28,0.37,0,0,0,0,3,0.04,4,0.05,1,0.01,3,0.04,0,0,3,0.04,3,0.04,2,0.03,1,0.01,3,0.04,3,0.04,2,0.03
大阪府,136,0.69,15,0.08,3,0.02,9,0.05,15,0.08,10,0.05,11,0.06,14,0.07,17,0.09,10,0.05,4,0.02,8,0.04,5,0.03,6,0.03,9,0.05
兵庫県,65,0.51,5,0.04,2,0.02,6,0.05,4,0.03,10,0.08,1,0.01,3,0.02,3,0.02,9,0.07,5,0.04,6,0.05,4,0.03,4,0.03,3,0.02
奈良県,12,0.36,0,0,6,0.18,1,0.03,1,0.03,0,0,1,0.03,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,1,0.03
和歌山県,10,0.33,0,0,2,0.07,0,0,2,0.07,0,0,0,0,0,0,1,0.03,3,0.1,0,0,0,0,2,0.07,0,0,0,0
鳥取県,4,0.21,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0,0,0,1,0.05,1,0.05,0,0,0,0,1,0.05
島根県,14,0.61,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,4,0.17,4,0.17,3,0.13,0,0,1,0.04
岡山県,10,0.19,1,0.02,0,0,0,0,0,0,1,0.02,0,0,2,0.04,0,0,1,0.02,2,0.04,0,0,0,0,0,0,3,0.06
広島県,15,0.22,0,0,1,0.01,2,0.03,2,0.03,1,0.01,1,0.01,0,0,2,0.03,1,0.01,1,0.01,1,0.01,1,0.01,1,0.01,1,0.01
山口県,7,0.16,0,0,1,0.02,1,0.02,0,0,1,0.02,0,0,0,0,0,0,0,0,2,0.05,0,0,0,0,2,0.05,0,0
徳島県,18,0.78,2,0.09,1,0.04,0,0,0,0,0,0,0,0,0,0,3,0.13,1,0.04,4,0.17,5,0.22,1,0.04,0,0,1,0.04
香川県,24,0.86,0,0,2,0.07,3,0.11,2,0.07,3,0.11,1,0.04,1,0.04,3,0.11,1,0.04,1,0.04,1,0.04,3,0.11,1,0.04,2,0.07
愛媛県,79,2.19,2,0.06,6,0.16,6,0.16,6,0.16,11,0.3,4,0.11,3,0.08,5,0.14,7,0.19,5,0.14,5,0.14,2,0.05,11,0.3,6,0.16
高知県,36,1.44,0,0,1,0.04,4,0.15,3,0.12,4,0.15,0,0,2,0.08,5,0.19,2,0.08,2,0.08,2,0.08,6,0.23,4,0.16,1,0.04
福岡県,35,0.29,1,0.01,3,0.03,3,0.03,4,0.03,4,0.03,3,0.03,0,0,1,0.01,0,0,2,0.02,1,0.01,1,0.01,3,0.03,9,0.08
佐賀県,6,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.09,1,0.04,1,0.04,0,0,0,0,1,0.04,1,0.04
長崎県,11,0.26,0,0,1,0.02,0,0,2,0.05,0,0,3,0.07,0,0,1,0.02,0,0,3,0.07,1,0.02,0,0,0,0,0,0
熊本県,31,0.62,3,0.06,3,0.06,7,0.14,7,0.14,1,0.02,1,0.02,4,0.08,0,0,0,0,0,0,2,0.04,0,0,2,0.04,1,0.02
大分県,34,0.94,3,0.08,0,0,0,0,3,0.08,3,0.08,3,0.08,2,0.06,5,0.14,6,0.17,2,0.06,1,0.03,1,0.03,5,0.14,0,0
宮崎県,14,0.39,1,0.03,1,0.03,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0,3,0.08,2,0.06,1,0.03,3,0.08,1,0.03
鹿児島県,65,1.3,5,0.1,8,0.16,3,0.06,5,0.1,3,0.06,6,0.12,2,0.04,9,0.18,6,0.12,5,0.1,1,0.02,4,0.08,2,0.04,6,0.12
沖縄県,19,0.63,2,0.06,0,0,1,0.03,1,0.03,0,0,2,0.06,0,0,2,0.06,0,0,2,0.06,0,0,4,0.13,3,0.1,2,0.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,1176,0.38,43,0.01,83,0.03,100,0.03,96,0.03,91,0.03,72,0.02,90,0.03,88,0.03,85,0.03,79,0.03,79,0.03,79,0.03,81,0.03,110,0.04
北海道,36,0.26,0,0,2,0.01,2,0.01,3,0.02,4,0.03,3,0.02,4,0.03,1,0.01,3,0.02,3,0.02,4,0.03,5,0.04,1,0.01,1,0.01
青森県,8,0.22,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0,1,0.03,1,0.03,1,0.03,1,0.03,1,0.03,0,0,0,0,0,0
岩手県,25,0.66,0,0,2,0.05,6,0.15,0,0,2,0.05,2,0.05,3,0.08,1,0.03,1,0.03,1,0.03,0,0,2,0.05,3,0.08,2,0.05
宮城県,21,0.39,1,0.02,2,0.04,1,0.02,0,0,2,0.04,3,0.05,3,0.05,1,0.02,0,0,1,0.02,2,0.04,3,0.05,1,0.02,1,0.02
秋田県,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03
山形県,7,0.25,0,0,0,0,0,0,2,0.07,0,0,1,0.04,1,0.04,0,0,1,0.04,0,0,1,0.04,0,0,0,0,1,0.04
福島県,8,0.16,0,0,1,0.02,1,0.02,1,0.02,0,0,0,0,1,0.02,0,0,1,0.02,1,0.02,1,0.02,0,0,0,0,1,0.02
茨城県,22,0.29,1,0.01,0,0,2,0.03,1,0.01,0,0,2,0.03,5,0.07,2,0.03,2,0.03,3,0.04,1,0.01,0,0,2,0.03,1,0.01
栃木県,17,0.35,2,0.04,0,0,0,0,0,0,2,0.04,2,0.04,2,0.04,2,0.04,0,0,4,0.08,0,0,0,0,0,0,3,0.06
群馬県,27,0.51,0,0,3,0.06,3,0.06,5,0.09,2,0.04,0,0,1,0.02,2,0.04,1,0.02,1,0.02,4,0.08,2,0.04,2,0.04,1,0.02
埼玉県,106,0.65,7,0.04,7,0.04,10,0.06,12,0.07,8,0.05,6,0.04,6,0.04,10,0.06,3,0.02,4,0.02,6,0.04,9,0.05,6,0.04,12,0.07
千葉県,52,0.42,5,0.04,4,0.03,2,0.02,7,0.06,4,0.03,2,0.02,3,0.02,7,0.06,3,0.02,1,0.01,4,0.03,3,0.02,2,0.02,5,0.04
東京都,158,0.61,0,0,16,0.06,15,0.06,10,0.04,13,0.05,13,0.05,10,0.04,8,0.03,14,0.05,12,0.05,13,0.05,10,0.04,9,0.03,15,0.06
神奈川県,88,0.38,0,0,5,0.02,9,0.04,11,0.05,9,0.04,2,0.01,8,0.03,4,0.02,9,0.04,7,0.03,4,0.02,3,0.01,10,0.04,7,0.03
新潟県,21,0.38,1,0.02,1,0.02,2,0.04,1,0.02,0,0,0,0,2,0.04,4,0.07,2,0.04,1,0.02,3,0.05,2,0.04,2,0.04,0,0
富山県,5,0.18,1,0.03,1,0.03,0,0,0,0,0,0,0,0,2,0.07,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0
石川県,5,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.07,2,0.07,0,0,1,0.03,0,0
福井県,4,0.16,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0.04,0,0,0,0,1,0.04
山梨県,4,0.17,0,0,0,0,0,0,0,0,0,0,0,0,3,0.13,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0
長野県,15,0.28,0,0,1,0.02,0,0,0,0,0,0,1,0.02,2,0.04,0,0,0,0,3,0.06,3,0.06,2,0.04,3,0.06,0,0
岐阜県,15,0.28,1,0.02,1,0.02,3,0.06,0,0,0,0,0,0,0,0,1,0.02,1,0.02,0,0,1,0.02,5,0.09,1,0.02,1,0.02
静岡県,59,0.66,2,0.02,2,0.02,1,0.01,3,0.03,6,0.07,8,0.09,4,0.04,7,0.08,4,0.04,5,0.06,5,0.06,3,0.03,5,0.06,4,0.04
愛知県,61,0.34,3,0.02,2,0.01,4,0.02,7,0.04,2,0.01,5,0.03,1,0.01,2,0.01,5,0.03,8,0.04,7,0.04,2,0.01,6,0.03,7,0.04
三重県,7,0.16,0,0,0,0,1,0.02,0,0,0,0,1,0.02,0,0,3,0.07,1,0.02,0,0,0,0,1,0.02,0,0,0,0
滋賀県,9,0.26,1,0.03,0,0,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,2,0.06,3,0.08
京都府,22,0.29,1,0.01,3,0.04,2,0.03,1,0.01,3,0.04,0,0,4,0.05,1,0.01,3,0.04,1,0.01,0,0,1,0.01,1,0.01,1,0.01
大阪府,65,0.33,4,0.02,3,0.02,5,0.03,6,0.03,5,0.03,3,0.02,6,0.03,3,0.02,10,0.05,4,0.02,4,0.02,5,0.03,2,0.01,5,0.03
兵庫県,48,0.38,1,0.01,5,0.04,5,0.04,2,0.02,5,0.04,2,0.02,5,0.04,4,0.03,7,0.05,3,0.02,1,0.01,3,0.02,3,0.02,2,0.02
奈良県,5,0.15,0,0,0,0,0,0,1,0.03,2,0.06,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0
和歌山県,11,0.37,0,0,1,0.03,0,0,1,0.03,2,0.07,1,0.03,0,0,1,0.03,2,0.07,0,0,1,0.03,1,0.03,0,0,1,0.03
鳥取県,6,0.32,0,0,0,0,0,0,1,0.05,0,0,0,0,1,0.05,1,0.05,2,0.11,0,0,0,0,1,0.05,0,0,0,0
島根県,9,0.39,0,0,1,0.04,0,0,1,0.04,0,0,0,0,0,0,1,0.04,1,0.04,0,0,0,0,0,0,2,0.09,3,0.13
岡山県,19,0.35,2,0.04,1,0.02,3,0.06,1,0.02,0,0,1,0.02,1,0.02,2,0.04,1,0.02,2,0.04,1,0.02,0,0,0,0,4,0.07
広島県,13,0.19,1,0.01,1,0.01,0,0,2,0.03,1,0.01,1,0.01,0,0,1,0.01,1,0.01,1,0.01,1,0.01,0,0,1,0.01,2,0.03
山口県,2,0.05,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0
徳島県,4,0.17,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04,2,0.09,0,0,0,0
香川県,8,0.29,0,0,0,0,2,0.07,1,0.04,2,0.07,1,0.04,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,1,0.04
愛媛県,14,0.39,0,0,1,0.03,2,0.05,2,0.05,2,0.05,1,0.03,1,0.03,2,0.05,0,0,0,0,0,0,0,0,2,0.05,1,0.03
高知県,4,0.16,0,0,0,0,0,0,1,0.04,0,0,0,0,1,0.04,0,0,0,0,1,0.04,0,0,1,0.04,0,0,0,0
福岡県,37,0.31,4,0.03,4,0.03,1,0.01,0,0,4,0.03,1,0.01,4,0.03,2,0.02,2,0.02,0,0,2,0.02,4,0.03,4,0.03,5,0.04
佐賀県,9,0.39,0,0,0,0,1,0.04,1,0.04,2,0.09,1,0.04,0,0,0,0,1,0.04,1,0.04,1,0.04,1,0.04,0,0,0,0
長崎県,8,0.19,0,0,0,0,0,0,1,0.02,1,0.02,0,0,0,0,3,0.07,0,0,0,0,0,0,0,0,0,0,3,0.07
熊本県,22,0.44,1,0.02,1,0.02,2,0.04,2,0.04,2,0.04,5,0.1,0,0,1,0.02,0,0,2,0.04,0,0,0,0,3,0.06,3,0.06
大分県,20,0.56,0,0,3,0.08,2,0.06,0,0,0,0,0,0,2,0.06,1,0.03,1,0.03,3,0.08,1,0.03,1,0.03,3,0.08,3,0.08
宮崎県,14,0.39,0,0,2,0.06,1,0.03,2,0.06,0,0,2,0.06,0,0,2,0.06,0,0,1,0.03,0,0,2,0.06,1,0.03,1,0.03
鹿児島県,28,0.56,3,0.06,0,0,7,0.14,4,0.08,0,0,1,0.02,2,0.04,0,0,1,0.02,0,0,1,0.02,1,0.02,3,0.06,5,0.1
沖縄県,27,0.9,1,0.03,6,0.19,3,0.1,1,0.03,3,0.1,1,0.03,1,0.03,4,0.13,1,0.03,0,0,1,0.03,2,0.06,0,0,3,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,103,0.15,10,0.01,11,0.02,5,0.01,6,0.01,5,0.01,7,0.01,5,0.01,4,0.01,9,0.01,12,0.02,6,0.01,8,0.01,8,0.01,7,0.01
北海道,1,0.03,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,2,0.29,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,2,0.15,0,0,0,0,1,0.08,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0
栃木県,2,0.17,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0
群馬県,2,0.14,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07,0,0,0,0,0,0,0,0,0,0
埼玉県,18,0.44,0,0,1,0.02,0,0,1,0.02,1,0.02,1,0.02,2,0.05,1,0.02,0,0,1,0.02,2,0.05,3,0.07,3,0.07,2,0.05
千葉県,4,0.12,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0,1,0.03,1,0.03,0,0,0,0,0,0,0,0
東京都,4,0.1,0,0,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0,2,0.05,0,0,0,0,0,0,0,0,0,0
神奈川県,9,0.18,1,0.02,0,0,1,0.02,0,0,0,0,0,0,0,0,1,0.02,0,0,1,0.02,0,0,2,0.04,1,0.02,2,0.04
新潟県,11,1.1,0,0,1,0.1,1,0.1,1,0.1,1,0.1,2,0.2,0,0,0,0,0,0,1,0.1,0,0,1,0.1,2,0.2,1,0.1
富山県,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,4,0.4,0,0,1,0.1,0,0,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,1,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13,0,0
京都府,1,0.06,0,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,8,0.16,2,0.04,0,0,1,0.02,1,0.02,1,0.02,0,0,0,0,0,0,0,0,1,0.02,0,0,1,0.02,0,0,1,0.02
