報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024年14週(04月01日～04月07日),2024年04月10日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
和歌山県,146,4.87,0,0,2,0.07,8,0.27,9,0.3,11,0.37,12,0.4,12,0.4,11,0.37,4,0.13,13,0.43,10,0.33,6,0.2,24,0.8,24,0.8
鳥取県,21,1.11,0,0,1,0.05,1,0.05,1,0.05,2,0.11,2,0.11,3,0.16,4,0.21,2,0.11,0,0,1,0.05,2,0.11,1,0.05,1,0.05
島根県,50,2.17,0,0,1,0.04,1,0.04,2,0.09,0,0,4,0.17,3,0.13,3,0.13,5,0.22,7,0.3,3,0.13,1,0.04,3,0.13,17,0.74
岡山県,68,1.26,2,0.04,1,0.02,1,0.02,3,0.06,1,0.02,1,0.02,2,0.04,2,0.04,7,0.13,7,0.13,12,0.22,7,0.13,10,0.19,12,0.22
広島県,261,3.78,1,0.01,4,0.06,7,0.1,5,0.07,9,0.13,10,0.15,10,0.14,7,0.1,29,0.41,25,0.36,29,0.41,28,0.4,50,0.71,47,0.69
山口県,245,5.7,0,0,0,0,0,0,2,0.05,1,0.02,3,0.07,4,0.09,21,0.49,14,0.33,14,0.33,24,0.56,45,1.05,49,1.14,68,1.58
徳島県,60,2.61,0,0,1,0.04,0,0,0,0,0,0,1,0.04,2,0.09,4,0.17,1,0.04,2,0.09,0,0,6,0.26,8,0.35,35,1.52
香川県,95,3.39,0,0,1,0.04,0,0,2,0.07,4,0.14,1,0.04,2,0.07,9,0.32,6,0.21,3,0.11,16,0.57,11,0.39,18,0.64,22,0.79
愛媛県,99,2.75,0,0,0,0,2,0.05,2,0.05,3,0.08,1,0.03,3,0.08,1,0.03,2,0.05,4,0.11,5,0.14,21,0.57,23,0.62,32,0.86
高知県,6,0.24,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0.04,0,0,0,0,1,0.04,0,0,1,0.04,0,0,2,0.08
福岡県,361,3.01,0,0,6,0.05,8,0.07,3,0.03,11,0.09,12,0.1,19,0.16,18,0.15,14,0.12,38,0.32,48,0.4,42,0.35,56,0.47,86,0.72
佐賀県,56,2.43,0,0,5,0.22,0,0,2,0.09,1,0.04,2,0.09,3,0.13,0,0,6,0.26,4,0.17,5,0.22,9,0.39,6,0.26,13,0.57
長崎県,54,1.26,0,0,3,0.07,0,0,0,0,3,0.07,1,0.02,0,0,5,0.12,6,0.14,2,0.05,9,0.21,2,0.05,8,0.19,15,0.35
熊本県,136,2.72,0,0,0,0,0,0,1,0.02,2,0.04,5,0.1,5,0.1,7,0.14,7,0.14,15,0.3,15,0.3,25,0.5,28,0.56,26,0.52
大分県,28,0.78,3,0.08,0,0,0,0,0,0,1,0.03,3,0.08,2,0.06,3,0.08,3,0.08,7,0.19,3,0.08,1,0.03,0,0,2,0.06
宮崎県,64,1.78,2,0.06,4,0.11,1,0.03,3,0.08,1,0.03,1,0.03,1,0.03,2,0.06,5,0.14,6,0.17,5,0.14,6,0.17,6,0.17,21,0.58
鹿児島県,178,3.56,0,0,3,0.06,9,0.18,6,0.12,9,0.18,8,0.16,10,0.2,12,0.24,21,0.41,14,0.27,20,0.39,19,0.37,17,0.33,30,0.6
沖縄県,70,2.33,5,0.16,2,0.06,13,0.42,3,0.1,7,0.23,4,0.13,3,0.1,7,0.23,3,0.1,3,0.1,8,0.26,4,0.13,2,0.06,6,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,43654,13.94,4524,1.46,4526,1.44,4001,1.28,3881,1.24,3602,1.15,3347,1.07,2857,0.91,2643,0.84,2994,0.95,2748,0.88,2593,0.83,2199,0.7,1970,0.63,1769,0.57
北海道,4661,33.78,511,3.81,469,3.37,464,3.34,413,2.97,394,2.83,364,2.62,325,2.34,308,2.22,327,2.35,268,1.94,242,1.75,261,1.89,190,1.39,125,0.91
