報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,
2025年11週(03月10日～03月16日),2025年03月19日作成,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週
長野県,951,18.29,26,0.65,53,0.98,82,1.52,92,1.7,104,1.93,118,2.23,64,1.19,117,2.17,93,1.72,92,1.7,110,2.08
岐阜県,621,11.72,15,0.28,52,0.98,58,1.09,57,1.08,75,1.42,72,1.36,44,0.83,64,1.21,40,0.75,57,1.08,87,1.64
静岡県,965,10.84,19,0.21,85,0.96,68,0.76,93,1.04,124,1.39,112,1.26,98,1.1,90,1.01,74,0.83,97,1.09,105,1.18
愛知県,1985,10.97,23,0.13,184,1.01,198,1.09,235,1.3,223,1.23,230,1.26,191,1.05,186,1.02,147,0.81,191,1.05,177,0.97
三重県,974,22.14,21,0.6,67,1.49,83,1.84,124,2.76,95,2.11,102,2.27,83,1.84,112,2.49,84,1.91,79,1.76,124,2.76
滋賀県,491,14.44,11,0.46,39,1.08,45,1.25,51,1.42,55,1.53,61,1.69,44,1.22,53,1.47,38,1.06,50,1.39,44,1.22
京都府,1200,16.44,40,0.59,109,1.45,103,1.37,132,1.78,136,1.81,99,1.32,80,1.07,119,1.63,110,1.47,137,1.85,135,1.82
大阪府,2405,12.79,46,0.24,190,0.98,202,1.05,292,1.51,292,1.51,294,1.52,136,0.99,244,1.26,183,0.94,264,1.37,262,1.36
兵庫県,1732,13.86,15,0.14,157,1.23,128,1,188,1.47,182,1.42,225,1.76,192,1.5,170,1.33,143,1.12,172,1.35,160,1.26
奈良県,400,12.9,2,0.2,31,0.91,34,1,39,1.15,48,1.41,36,1.06,39,1.15,41,1.21,43,1.26,46,1.35,41,1.21
和歌山県,297,10.61,11,0.39,22,0.76,26,0.9,24,0.83,32,1.1,36,1.24,32,1.1,40,1.38,17,0.59,32,1.1,25,0.86
鳥取県,729,38.37,11,0.58,54,2.84,52,2.74,83,4.37,92,4.84,62,3.26,60,3.16,87,4.58,59,3.11,79,4.16,90,4.74
島根県,409,17.78,9,0.39,33,1.43,50,2.17,44,1.91,41,1.78,41,1.78,34,1.48,40,1.74,42,1.83,43,1.87,32,1.39
岡山県,591,10.94,31,0.57,49,0.91,52,0.96,70,1.3,88,1.63,65,1.2,47,0.87,54,1,39,0.72,50,0.93,46,0.85
広島県,1615,22.43,17,0.32,95,1.28,106,1.43,186,2.51,209,2.82,197,2.66,158,2.14,170,2.3,126,1.7,181,2.45,170,2.3
山口県,1382,32.14,56,1.3,120,2.79,117,2.72,155,3.6,143,3.33,158,3.67,124,2.88,144,3.35,113,2.63,130,3.02,122,2.84
徳島県,182,7.91,9,0.39,14,0.61,13,0.57,28,1.22,19,0.83,14,0.61,9,0.39,26,1.13,8,0.35,19,0.83,23,1
香川県,521,18.61,16,0.57,43,1.54,68,2.43,54,1.93,59,2.11,46,1.64,44,1.57,60,2.14,42,1.5,56,2,33,1.18
愛媛県,1281,37.68,26,1.13,81,2.25,94,2.61,117,3.25,144,4,153,4.25,131,3.64,135,3.75,106,2.94,131,3.64,163,4.53
高知県,577,23.08,21,0.84,38,1.52,49,1.96,51,2.04,47,1.88,71,2.84,61,2.44,64,2.56,42,1.68,69,2.76,64,2.56
福岡県,4444,37.34,114,0.96,354,2.97,377,3.17,492,4.13,486,4.08,461,3.87,435,3.66,491,4.13,408,3.43,455,3.82,371,3.12
佐賀県,625,28.41,7,0.33,64,2.78,81,3.52,75,3.26,97,4.22,57,2.48,44,1.91,59,2.57,43,1.87,50,2.17,48,2.09
長崎県,1443,33.56,56,1.27,109,2.48,113,2.57,113,2.57,161,3.66,169,3.84,152,3.45,161,3.66,125,2.84,134,3.12,150,3.49
熊本県,1311,26.76,39,0.8,95,1.94,90,1.84,142,2.9,171,3.42,166,3.32,130,2.6,132,2.64,114,2.28,111,2.22,121,2.42
大分県,1406,39.06,52,1.44,107,2.97,133,3.69,133,3.69,161,4.47,127,3.53,128,3.56,195,5.42,132,3.67,94,2.61,144,4
宮崎県,994,28.4,19,0.58,81,2.25,115,3.19,124,3.44,102,2.83,91,2.53,90,2.5,110,3.06,86,2.39,99,2.75,77,2.14
鹿児島県,1431,28.62,26,0.51,90,1.76,118,2.31,171,3.35,150,2.94,149,2.92,139,2.78,153,3.06,144,2.88,147,2.94,144,2.88
沖縄県,770,24.06,31,0.97,68,2.13,56,1.75,76,2.38,77,2.41,91,2.84,78,2.44,70,2.19,76,2.38,77,2.41,70,2.19
,,,,,,,,,,,,,,,,,,,,,,,,
感染性胃腸炎,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,250924,81.47,2904,1.09,12975,4.14,14167,4.53,18971,6.06,21476,6.86,23169,7.4,23812,7.74,32403,10.36,30820,9.85,35618,11.39,34609,11.1
北海道,3719,27.96,51,0.49,202,1.49,215,1.58,307,2.26,322,2.37,286,2.1,334,2.46,434,3.19,395,2.9,512,3.76,661,4.86
青森県,1744,48.44,19,0.59,100,2.7,95,2.57,143,3.86,162,4.38,136,3.68,180,4.86,238,6.43,218,5.89,229,6.19,224,6.05
岩手県,3186,81.69,62,1.59,174,4.46,165,4.23,284,7.28,250,6.41,282,7.23,252,6.46,370,9.49,343,8.79,487,12.49,517,13.26
宮城県,3185,57.91,48,0.87,167,3.04,147,2.67,213,3.87,222,4.04,289,5.25,270,4.91,376,6.84,455,8.27,476,8.65,522,9.49
秋田県,1357,42.41,11,0.73,105,3.09,93,2.74,106,3.12,148,4.35,113,3.32,90,2.65,161,4.74,138,4.06,159,4.68,233,6.85
山形県,1205,48.2,15,0.83,65,2.41,88,3.26,73,2.7,92,3.41,99,3.67,55,2.12,116,4.46,128,4.92,238,9.15,236,9.08
福島県,2229,46.44,50,1.02,119,2.43,121,2.47,131,2.67,149,3.1,189,3.94,160,3.33,272,5.67,308,6.42,373,7.77,357,7.44
茨城県,5616,76.93,79,1.3,263,3.51,337,4.49,476,6.35,461,6.23,500,6.67,577,7.69,762,10.16,642,8.56,800,10.67,719,9.59
栃木県,3124,67.91,17,0.52,120,2.5,143,2.98,223,4.65,306,6.38,335,6.98,300,6.25,433,9.02,375,7.81,465,9.69,407,8.48
群馬県,4876,95.61,47,1.34,269,5.08,313,5.91,368,6.94,436,8.23,492,9.28,489,9.23,588,11.09,538,10.15,694,13.35,642,12.35
埼玉県,14966,95.32,100,1.11,749,4.57,797,4.86,1124,6.85,1218,7.43,1457,8.88,1468,8.95,1886,11.5,1787,10.9,2166,13.21,2214,13.5
千葉県,12746,101.97,107,1.03,685,5.35,748,5.84,938,7.33,1140,8.91,1149,8.98,1283,10.02,1719,13.43,1453,11.35,1805,14.1,1719,13.75
東京都,26611,103.14,174,0.86,1515,5.76,1572,5.98,2097,7.97,2276,8.65,2643,10.01,2694,10.2,3530,13.37,3441,13.03,3357,12.72,3312,12.59
神奈川県,18039,81.62,119,0.8,955,4.15,993,4.37,1363,5.95,1569,6.88,1682,7.31,1868,8.16,2435,10.73,2219,9.73,2407,10.56,2429,10.75
新潟県,2547,46.31,9,0.16,90,1.64,139,2.53,211,3.84,254,4.62,227,4.13,239,4.35,332,6.04,299,5.44,382,6.95,365,6.64
富山県,2838,101.36,55,1.96,162,5.59,174,6,232,8,264,9.1,291,10.03,201,6.93,311,10.72,320,11.03,392,13.52,436,15.03
石川県,3032,104.55,55,1.9,202,6.97,236,8.14,263,9.07,319,11,250,8.62,281,9.69,351,12.1,347,11.97,377,13,351,12.1
福井県,2313,92.52,64,2.56,140,5.6,162,6.48,174,6.96,162,6.48,184,7.36,214,8.56,321,12.84,263,10.52,337,13.48,292,11.68
山梨県,2138,89.08,6,0.25,77,3.21,84,3.5,126,5.25,162,6.75,199,8.29,176,7.33,249,10.38,332,13.83,361,15.04,366,15.25
長野県,3080,59.23,38,0.95,147,2.72,139,2.57,191,3.54,237,4.39,246,4.64,283,5.24,423,7.83,378,7,503,9.31,495,9.34
岐阜県,2570,48.49,56,1.06,148,2.79,149,2.81,189,3.57,185,3.49,234,4.42,261,4.92,294,5.55,284,5.36,407,7.68,363,6.85
静岡県,6222,69.91,114,1.28,412,4.63,354,3.98,414,4.65,499,5.61,544,6.11,579,6.51,772,8.67,687,7.72,991,11.13,856,9.62
愛知県,10119,55.91,123,0.68,675,3.71,635,3.51,770,4.25,912,5.04,954,5.24,1038,5.7,1246,6.85,1068,5.87,1377,7.57,1321,7.26
三重県,3245,73.75,64,1.83,228,5.07,216,4.8,264,5.87,314,6.98,286,6.36,313,6.96,380,8.44,340,7.73,432,9.6,408,9.07
滋賀県,1905,56.03,29,1.21,109,3.03,106,2.94,199,5.53,179,4.97,171,4.75,168,4.67,222,6.17,192,5.33,236,6.56,294,8.17
京都府,4511,61.79,46,0.68,226,3.01,233,3.11,346,4.68,369,4.92,440,5.87,463,6.17,497,6.81,517,6.89,691,9.34,683,9.23
大阪府,15850,84.31,142,0.74,780,4.04,885,4.59,1167,6.05,1400,7.25,1421,7.36,1139,8.25,2153,11.1,2059,10.61,2478,12.84,2226,11.59
兵庫県,11333,90.66,96,0.9,638,4.98,657,5.13,870,6.8,858,6.7,912,7.13,1029,8.04,1426,11.14,1484,11.59,1776,13.98,1587,12.5
奈良県,2721,87.77,9,0.9,144,4.24,171,5.03,250,7.35,206,6.06,226,6.65,266,7.82,353,10.38,330,9.71,374,11,392,11.53
和歌山県,2060,73.57,31,1.11,103,3.55,131,4.52,161,5.55,245,8.45,221,7.62,172,5.93,254,8.76,249,8.59,210,7.24,283,9.76
鳥取県,1022,53.79,31,1.63,67,3.53,81,4.26,72,3.79,92,4.84,74,3.89,94,4.95,115,6.05,126,6.63,135,7.11,135,7.11
島根県,1952,84.87,20,0.87,75,3.26,74,3.22,127,5.52,189,8.22,125,5.43,155,6.74,318,13.83,252,10.96,331,14.39,286,12.43
岡山県,4269,79.06,119,2.2,215,3.98,265,4.91,296,5.48,332,6.15,393,7.28,384,7.11,577,10.69,529,9.8,569,10.54,590,10.93
広島県,7523,104.49,47,0.89,311,4.2,339,4.58,497,6.72,659,8.91,757,10.23,789,10.66,1032,13.95,898,12.14,1194,16.14,1000,13.51
山口県,4242,98.65,47,1.09,158,3.67,247,5.74,324,7.53,352,8.19,434,10.09,396,9.21,582,13.53,442,10.28,597,13.88,663,15.42
徳島県,1483,64.48,34,1.48,87,3.78,89,3.87,98,4.26,119,5.17,131,5.7,142,6.17,220,9.57,197,8.57,200,8.7,166,7.22
香川県,3344,119.43,26,0.93,137,4.89,119,4.25,203,7.25,238,8.5,319,11.39,300,10.71,482,17.21,447,15.96,558,19.93,515,18.39
愛媛県,4544,133.65,71,3.09,219,6.08,192,5.33,253,7.03,315,8.75,401,11.14,468,13,590,16.39,618,17.17,723,20.08,694,19.28
高知県,1202,48.08,12,0.48,16,0.64,59,2.36,94,3.76,102,4.08,85,3.4,93,3.72,163,6.52,150,6,219,8.76,209,8.36
福岡県,12440,104.54,176,1.48,572,4.81,817,6.87,1047,8.8,1162,9.76,1154,9.7,1226,10.3,1557,13.08,1677,14.09,1624,13.65,1428,12
佐賀県,2282,103.73,28,1.33,93,4.04,123,5.35,217,9.43,240,10.43,255,11.09,213,9.26,276,12,274,11.91,296,12.87,267,11.61
長崎県,3369,78.35,28,0.64,126,2.86,193,4.39,247,5.61,290,6.59,325,7.39,343,7.8,478,10.86,432,9.82,477,11.09,430,10
熊本県,6627,135.24,95,1.94,266,5.43,331,6.76,424,8.65,578,11.56,651,13.02,736,14.72,953,19.06,853,17.06,889,17.78,851,17.02
大分県,6494,180.39,131,3.64,349,9.69,354,9.83,611,16.97,667,18.53,657,18.25,571,15.86,757,21.03,836,23.22,772,21.44,789,21.92
宮崎県,4020,114.86,41,1.24,216,6,250,6.94,287,7.97,350,9.72,295,8.19,377,10.47,519,14.42,500,13.89,535,14.86,650,18.06
鹿児島県,5889,117.78,90,1.76,237,4.65,261,5.12,389,7.63,403,7.9,558,10.94,584,11.68,740,14.8,840,16.8,893,17.86,894,17.88
沖縄県,1135,35.47,72,2.25,62,1.94,75,2.34,112,3.5,72,2.25,97,3.03,99,3.09,140,4.38,160,5,114,3.56,132,4.13
,,,,,,,,,,,,,,,,,,,,,,,,
水痘,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,8357,2.71,367,0.14,1101,0.35,570,0.18,812,0.26,594,0.19,908,0.29,714,0.23,829,0.27,784,0.25,834,0.27,844,0.27
北海道,649,4.88,33,0.31,140,1.03,53,0.39,50,0.37,43,0.32,72,0.53,42,0.31,64,0.47,52,0.38,51,0.38,49,0.36
青森県,137,3.81,1,0.03,13,0.35,10,0.27,14,0.38,5,0.14,11,0.3,4,0.11,13,0.35,7,0.19,46,1.24,13,0.35
岩手県,96,2.46,8,0.21,14,0.36,5,0.13,9,0.23,21,0.54,11,0.28,4,0.1,8,0.21,5,0.13,6,0.15,5,0.13
宮城県,154,2.8,11,0.2,25,0.45,10,0.18,6,0.11,13,0.24,15,0.27,11,0.2,17,0.31,17,0.31,11,0.2,18,0.33
秋田県,55,1.72,3,0.2,9,0.26,6,0.18,8,0.24,3,0.09,8,0.24,4,0.12,2,0.06,4,0.12,4,0.12,4,0.12
山形県,79,3.16,4,0.22,8,0.3,3,0.11,10,0.37,3,0.11,7,0.26,5,0.19,8,0.31,12,0.46,4,0.15,15,0.58
福島県,142,2.96,8,0.16,17,0.35,8,0.16,9,0.18,13,0.27,7,0.15,14,0.29,22,0.46,16,0.33,17,0.35,11,0.23
茨城県,182,2.49,1,0.02,14,0.19,7,0.09,15,0.2,10,0.14,27,0.36,29,0.39,22,0.29,13,0.17,23,0.31,21,0.28
栃木県,80,1.74,3,0.09,10,0.21,7,0.15,7,0.15,8,0.17,7,0.15,8,0.17,2,0.04,9,0.19,8,0.17,11,0.23
群馬県,163,3.2,11,0.31,22,0.42,16,0.3,25,0.47,10,0.19,6,0.11,6,0.11,11,0.21,27,0.51,7,0.13,22,0.42
埼玉県,695,4.43,18,0.2,72,0.44,43,0.26,63,0.38,34,0.21,74,0.45,56,0.34,78,0.48,72,0.44,88,0.54,97,0.59
千葉県,263,2.1,8,0.08,32,0.25,14,0.11,36,0.28,13,0.1,24,0.19,22,0.17,22,0.17,42,0.33,28,0.22,22,0.18
東京都,988,3.83,32,0.16,157,0.6,57,0.22,92,0.35,61,0.23,95,0.36,65,0.25,93,0.35,87,0.33,104,0.39,145,0.55
神奈川県,899,4.07,16,0.11,98,0.43,39,0.17,86,0.38,58,0.25,116,0.5,68,0.3,107,0.47,97,0.43,108,0.47,106,0.47
新潟県,348,6.33,19,0.35,36,0.65,21,0.38,31,0.56,34,0.62,38,0.69,55,1,22,0.4,43,0.78,18,0.33,31,0.56
富山県,58,2.07,2,0.07,6,0.21,6,0.21,7,0.24,5,0.17,3,0.1,3,0.1,6,0.21,3,0.1,8,0.28,9,0.31
石川県,169,5.83,5,0.17,35,1.21,15,0.52,20,0.69,15,0.52,17,0.59,14,0.48,8,0.28,11,0.38,9,0.31,20,0.69
福井県,117,4.68,3,0.12,12,0.48,8,0.32,11,0.44,9,0.36,27,1.08,8,0.32,16,0.64,5,0.2,7,0.28,11,0.44
山梨県,26,1.08,1,0.04,4,0.17,2,0.08,2,0.08,2,0.08,2,0.08,0,0,6,0.25,2,0.08,1,0.04,4,0.17
長野県,122,2.35,3,0.08,17,0.31,7,0.13,9,0.17,5,0.09,15,0.28,12,0.22,26,0.48,9,0.17,12,0.22,7,0.13
岐阜県,38,0.72,0,0,4,0.08,6,0.11,5,0.09,8,0.15,2,0.04,3,0.06,2,0.04,3,0.06,3,0.06,2,0.04
静岡県,97,1.09,7,0.08,19,0.21,13,0.15,3,0.03,6,0.07,10,0.11,10,0.11,15,0.17,4,0.04,5,0.06,5,0.06
愛知県,134,0.74,11,0.06,21,0.12,18,0.1,14,0.08,12,0.07,11,0.06,10,0.05,7,0.04,16,0.09,8,0.04,6,0.03
三重県,89,2.02,6,0.17,7,0.16,5,0.11,8,0.18,7,0.16,10,0.22,9,0.2,9,0.2,11,0.25,14,0.31,3,0.07
滋賀県,89,2.62,9,0.38,17,0.47,10,0.28,12,0.33,5,0.14,7,0.19,7,0.19,7,0.19,7,0.19,6,0.17,2,0.06
京都府,100,1.37,1,0.01,18,0.24,8,0.11,15,0.2,4,0.05,12,0.16,7,0.09,13,0.18,8,0.11,8,0.11,6,0.08
大阪府,319,1.7,8,0.04,30,0.16,25,0.13,27,0.14,26,0.13,34,0.18,24,0.17,33,0.17,43,0.22,33,0.17,36,0.19
兵庫県,197,1.58,9,0.08,24,0.19,24,0.19,28,0.22,19,0.15,17,0.13,11,0.09,15,0.12,14,0.11,12,0.09,24,0.19
奈良県,57,1.84,0,0,4,0.12,2,0.06,5,0.15,14,0.41,8,0.24,12,0.35,3,0.09,1,0.03,6,0.18,2,0.06
和歌山県,71,2.54,0,0,9,0.31,4,0.14,12,0.41,3,0.1,13,0.45,4,0.14,7,0.24,2,0.07,7,0.24,10,0.34
鳥取県,30,1.58,3,0.16,5,0.26,3,0.16,1,0.05,2,0.11,3,0.16,4,0.21,2,0.11,1,0.05,1,0.05,5,0.26
島根県,38,1.65,0,0,4,0.17,3,0.13,5,0.22,2,0.09,4,0.17,3,0.13,1,0.04,6,0.26,3,0.13,7,0.3
岡山県,44,0.81,4,0.07,8,0.15,8,0.15,5,0.09,2,0.04,7,0.13,4,0.07,0,0,2,0.04,3,0.06,1,0.02
広島県,83,1.15,7,0.13,17,0.23,2,0.03,10,0.14,12,0.16,5,0.07,3,0.04,8,0.11,2,0.03,10,0.14,7,0.09
山口県,40,0.93,2,0.05,5,0.12,3,0.07,2,0.05,3,0.07,8,0.19,4,0.09,4,0.09,6,0.14,2,0.05,1,0.02
徳島県,27,1.17,1,0.04,1,0.04,0,0,6,0.26,5,0.22,2,0.09,1,0.04,3,0.13,0,0,5,0.22,3,0.13
香川県,34,1.21,2,0.07,8,0.29,4,0.14,6,0.21,1,0.04,2,0.07,4,0.14,2,0.07,3,0.11,0,0,2,0.07
愛媛県,27,0.79,3,0.13,4,0.11,1,0.03,3,0.08,2,0.06,3,0.08,5,0.14,4,0.11,1,0.03,0,0,1,0.03
高知県,28,1.12,2,0.08,5,0.2,2,0.08,10,0.4,0,0,3,0.12,1,0.04,3,0.12,0,0,1,0.04,1,0.04
福岡県,510,4.29,43,0.36,55,0.46,36,0.3,41,0.34,39,0.33,58,0.49,59,0.5,43,0.36,32,0.27,78,0.66,26,0.22
佐賀県,57,2.59,1,0.05,4,0.17,7,0.3,5,0.22,5,0.22,12,0.52,8,0.35,3,0.13,3,0.13,2,0.09,7,0.3
長崎県,123,2.86,12,0.27,18,0.41,6,0.14,16,0.36,8,0.18,17,0.39,7,0.16,15,0.34,8,0.18,14,0.33,2,0.05
熊本県,115,2.35,14,0.29,18,0.37,6,0.12,9,0.18,4,0.08,21,0.42,15,0.3,5,0.1,8,0.16,7,0.14,8,0.16
大分県,115,3.19,1,0.03,8,0.22,4,0.11,17,0.47,8,0.22,13,0.36,16,0.44,18,0.5,9,0.25,9,0.25,12,0.33
宮崎県,79,2.26,6,0.18,6,0.17,10,0.28,6,0.17,10,0.28,3,0.08,15,0.42,14,0.39,2,0.06,3,0.08,4,0.11
鹿児島県,152,3.04,14,0.27,15,0.29,11,0.22,11,0.22,11,0.22,24,0.47,9,0.18,14,0.28,18,0.36,16,0.32,9,0.18
沖縄県,242,7.56,11,0.34,26,0.81,12,0.38,20,0.63,11,0.34,17,0.53,29,0.91,26,0.81,41,1.28,18,0.56,31,0.97
,,,,,,,,,,,,,,,,,,,,,,,,
手足口病,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2859,0.93,233,0.09,517,0.17,356,0.11,372,0.12,316,0.1,236,0.08,195,0.06,174,0.06,157,0.05,156,0.05,147,0.05
北海道,255,1.92,25,0.24,46,0.34,35,0.26,26,0.19,41,0.3,27,0.2,21,0.15,14,0.1,10,0.07,4,0.03,6,0.04
青森県,69,1.92,1,0.03,9,0.24,3,0.08,9,0.24,11,0.3,13,0.35,5,0.14,5,0.14,4,0.11,5,0.14,4,0.11
岩手県,85,2.18,11,0.28,16,0.41,8,0.21,10,0.26,12,0.31,8,0.21,7,0.18,10,0.26,0,0,2,0.05,1,0.03
宮城県,67,1.22,2,0.04,18,0.33,8,0.15,3,0.05,10,0.18,16,0.29,3,0.05,2,0.04,2,0.04,1,0.02,2,0.04
秋田県,51,1.59,5,0.33,9,0.26,7,0.21,11,0.32,8,0.24,1,0.03,1,0.03,0,0,1,0.03,6,0.18,2,0.06
山形県,147,5.88,7,0.39,17,0.63,21,0.78,18,0.67,22,0.81,14,0.52,8,0.31,12,0.46,10,0.38,14,0.54,4,0.15
福島県,34,0.71,6,0.12,11,0.22,6,0.12,3,0.06,3,0.06,3,0.06,0,0,0,0,0,0,1,0.02,1,0.02
茨城県,43,0.59,13,0.21,8,0.11,2,0.03,5,0.07,0,0,1,0.01,5,0.07,7,0.09,0,0,1,0.01,1,0.01
栃木県,61,1.33,10,0.3,8,0.17,6,0.13,12,0.25,8,0.17,2,0.04,9,0.19,1,0.02,3,0.06,1,0.02,1,0.02
群馬県,57,1.12,2,0.06,8,0.15,5,0.09,5,0.09,12,0.23,5,0.09,9,0.17,3,0.06,3,0.06,1,0.02,4,0.08
埼玉県,154,0.98,11,0.12,44,0.27,16,0.1,21,0.13,19,0.12,8,0.05,10,0.06,4,0.02,3,0.02,8,0.05,10,0.06
千葉県,84,0.67,8,0.08,17,0.13,11,0.09,9,0.07,4,0.03,10,0.08,5,0.04,7,0.05,5,0.04,4,0.03,4,0.03
東京都,160,0.62,11,0.05,35,0.13,19,0.07,21,0.08,14,0.05,11,0.04,12,0.05,9,0.03,12,0.05,4,0.02,12,0.05
神奈川県,132,0.6,11,0.07,26,0.11,24,0.11,26,0.11,10,0.04,12,0.05,6,0.03,4,0.02,7,0.03,4,0.02,2,0.01
新潟県,74,1.35,4,0.07,19,0.35,12,0.22,8,0.15,6,0.11,2,0.04,3,0.05,4,0.07,10,0.18,2,0.04,4,0.07
富山県,6,0.21,0,0,2,0.07,2,0.07,0,0,0,0,0,0,0,0,0,0,1,0.03,1,0.03,0,0
石川県,6,0.21,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,1,0.03,0,0,2,0.07,1,0.03
福井県,42,1.68,0,0,6,0.24,3,0.12,4,0.16,1,0.04,7,0.28,4,0.16,5,0.2,1,0.04,6,0.24,5,0.2
山梨県,18,0.75,2,0.08,6,0.25,2,0.08,5,0.21,0,0,0,0,1,0.04,0,0,1,0.04,0,0,1,0.04
長野県,93,1.79,8,0.2,22,0.41,16,0.3,15,0.28,9,0.17,3,0.06,3,0.06,4,0.07,6,0.11,6,0.11,1,0.02
岐阜県,12,0.23,0,0,1,0.02,4,0.08,2,0.04,0,0,1,0.02,0,0,2,0.04,1,0.02,1,0.02,0,0
静岡県,19,0.21,0,0,3,0.03,1,0.01,1,0.01,2,0.02,2,0.02,3,0.03,2,0.02,0,0,2,0.02,3,0.03
愛知県,30,0.17,0,0,9,0.05,3,0.02,6,0.03,4,0.02,3,0.02,0,0,0,0,1,0.01,0,0,4,0.02
三重県,9,0.2,1,0.03,2,0.04,0,0,0,0,2,0.04,1,0.02,0,0,0,0,1,0.02,2,0.04,0,0
滋賀県,9,0.26,1,0.04,3,0.08,1,0.03,2,0.06,0,0,0,0,0,0,1,0.03,0,0,1,0.03,0,0
京都府,37,0.51,0,0,5,0.07,2,0.03,5,0.07,6,0.08,8,0.11,4,0.05,2,0.03,2,0.03,0,0,3,0.04
大阪府,154,0.82,6,0.03,26,0.13,15,0.08,20,0.1,20,0.1,13,0.07,11,0.08,10,0.05,10,0.05,8,0.04,15,0.08
兵庫県,104,0.83,3,0.03,12,0.09,14,0.11,16,0.13,6,0.05,5,0.04,10,0.08,5,0.04,11,0.09,14,0.11,8,0.06
奈良県,38,1.23,0,0,5,0.15,2,0.06,1,0.03,2,0.06,3,0.09,1,0.03,11,0.32,5,0.15,4,0.12,4,0.12
和歌山県,17,0.61,2,0.07,5,0.17,4,0.14,2,0.07,2,0.07,1,0.03,0,0,0,0,0,0,1,0.03,0,0
鳥取県,12,0.63,1,0.05,1,0.05,3,0.16,2,0.11,3,0.16,0,0,2,0.11,0,0,0,0,0,0,0,0
島根県,21,0.91,0,0,2,0.09,1,0.04,3,0.13,6,0.26,1,0.04,2,0.09,0,0,1,0.04,4,0.17,1,0.04
岡山県,32,0.59,4,0.07,5,0.09,1,0.02,4,0.07,2,0.04,5,0.09,2,0.04,3,0.06,3,0.06,3,0.06,0,0
広島県,53,0.74,4,0.08,3,0.04,15,0.2,4,0.05,4,0.05,5,0.07,3,0.04,4,0.05,4,0.05,3,0.04,4,0.05
山口県,26,0.6,4,0.09,4,0.09,2,0.05,2,0.05,2,0.05,0,0,3,0.07,4,0.09,1,0.02,1,0.02,3,0.07
徳島県,53,2.3,0,0,8,0.35,10,0.43,14,0.61,7,0.3,2,0.09,4,0.17,3,0.13,3,0.13,0,0,2,0.09
香川県,17,0.61,5,0.18,3,0.11,0,0,1,0.04,5,0.18,0,0,2,0.07,1,0.04,0,0,0,0,0,0
愛媛県,22,0.65,0,0,9,0.25,2,0.06,2,0.06,3,0.08,2,0.06,2,0.06,0,0,0,0,2,0.06,0,0
高知県,34,1.36,2,0.08,8,0.32,9,0.36,6,0.24,3,0.12,2,0.08,3,0.12,0,0,0,0,0,0,1,0.04
福岡県,118,0.99,6,0.05,12,0.1,16,0.13,11,0.09,14,0.12,5,0.04,10,0.08,8,0.07,9,0.08,12,0.1,15,0.13
佐賀県,36,1.64,1,0.05,3,0.13,2,0.09,8,0.35,2,0.09,8,0.35,2,0.09,9,0.39,1,0.04,0,0,0,0
長崎県,44,1.02,6,0.14,10,0.23,10,0.23,7,0.16,4,0.09,5,0.11,1,0.02,0,0,1,0.02,0,0,0,0
熊本県,89,1.82,9,0.18,16,0.33,6,0.12,10,0.2,5,0.1,3,0.06,9,0.18,10,0.2,9,0.18,6,0.12,6,0.12
大分県,61,1.69,11,0.31,6,0.17,3,0.08,9,0.25,2,0.06,7,0.19,3,0.08,4,0.11,4,0.11,7,0.19,5,0.14
宮崎県,39,1.11,1,0.03,4,0.11,8,0.22,9,0.25,8,0.22,4,0.11,2,0.06,0,0,3,0.08,0,0,0,0
鹿児島県,91,1.82,26,0.51,23,0.45,10,0.2,8,0.16,8,0.16,3,0.06,1,0.02,2,0.04,2,0.04,6,0.12,2,0.04
沖縄県,44,1.38,3,0.09,2,0.06,5,0.16,6,0.19,4,0.13,4,0.13,2,0.06,1,0.03,6,0.19,6,0.19,5,0.16
,,,,,,,,,,,,,,,,,,,,,,,,
