報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,
2025年09週(02月24日～03月02日),2025年03月05日作成,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週
青森県,1291,35.86,19,0.59,100,2.7,95,2.57,143,3.86,162,4.38,136,3.68,180,4.86,238,6.43,218,5.89
岩手県,2182,55.95,62,1.59,174,4.46,165,4.23,284,7.28,250,6.41,282,7.23,252,6.46,370,9.49,343,8.79
宮城県,2187,39.76,48,0.87,167,3.04,147,2.67,213,3.87,222,4.04,289,5.25,270,4.91,376,6.84,455,8.27
秋田県,965,31.13,11,0.73,105,3.09,93,2.74,106,3.12,148,4.35,113,3.32,90,2.65,161,4.74,138,4.06
山形県,731,29.24,15,0.83,65,2.41,88,3.26,73,2.7,92,3.41,99,3.67,55,2.12,116,4.46,128,4.92
福島県,1499,31.23,50,1.02,119,2.43,121,2.47,131,2.67,149,3.1,189,3.94,160,3.33,272,5.67,308,6.42
茨城県,4097,56.12,79,1.3,263,3.51,337,4.49,476,6.35,461,6.23,500,6.67,577,7.69,762,10.16,642,8.56
栃木県,2252,48.96,17,0.52,120,2.5,143,2.98,223,4.65,306,6.38,335,6.98,300,6.25,433,9.02,375,7.81
群馬県,3540,69.41,47,1.34,269,5.08,313,5.91,368,6.94,436,8.23,492,9.28,489,9.23,588,11.09,538,10.15
埼玉県,10586,68.3,100,1.11,749,4.57,797,4.86,1124,6.85,1218,7.43,1457,8.88,1468,8.95,1886,11.5,1787,10.9
千葉県,9222,73.78,107,1.03,685,5.35,748,5.84,938,7.33,1140,8.91,1149,8.98,1283,10.02,1719,13.43,1453,11.35
東京都,19942,77.9,174,0.86,1515,5.76,1572,5.98,2097,7.97,2276,8.65,2643,10.01,2694,10.2,3530,13.37,3441,13.03
神奈川県,13186,60.21,119,0.8,955,4.15,993,4.37,1363,5.95,1569,6.88,1682,7.31,1868,8.16,2435,10.73,2202,9.7
新潟県,1800,32.73,9,0.16,90,1.64,139,2.53,211,3.84,254,4.62,227,4.13,239,4.35,332,6.04,299,5.44
富山県,2010,71.79,55,1.96,162,5.59,174,6,232,8,264,9.1,291,10.03,201,6.93,311,10.72,320,11.03
石川県,2304,79.45,55,1.9,202,6.97,236,8.14,263,9.07,319,11,250,8.62,281,9.69,351,12.1,347,11.97
福井県,1684,67.36,64,2.56,140,5.6,162,6.48,174,6.96,162,6.48,184,7.36,214,8.56,321,12.84,263,10.52
山梨県,1411,58.79,6,0.25,77,3.21,84,3.5,126,5.25,162,6.75,199,8.29,176,7.33,249,10.38,332,13.83
長野県,2082,40.04,38,0.95,147,2.72,139,2.57,191,3.54,237,4.39,246,4.64,283,5.24,423,7.83,378,7
岐阜県,1800,33.96,56,1.06,148,2.79,149,2.81,189,3.57,185,3.49,234,4.42,261,4.92,294,5.55,284,5.36
静岡県,4375,49.16,114,1.28,412,4.63,354,3.98,414,4.65,499,5.61,544,6.11,579,6.51,772,8.67,687,7.72
愛知県,7421,41,123,0.68,675,3.71,635,3.51,770,4.25,912,5.04,954,5.24,1038,5.7,1246,6.85,1068,5.87
三重県,2405,55.93,64,1.83,228,5.07,216,4.8,264,5.87,314,6.98,286,6.36,313,6.96,380,8.44,340,7.73
滋賀県,1375,40.44,29,1.21,109,3.03,106,2.94,199,5.53,179,4.97,171,4.75,168,4.67,222,6.17,192,5.33
京都府,3137,42.97,46,0.68,226,3.01,233,3.11,346,4.68,369,4.92,440,5.87,463,6.17,497,6.81,517,6.89
大阪府,11146,59.6,142,0.74,780,4.04,885,4.59,1167,6.05,1400,7.25,1421,7.36,1139,8.25,2153,11.1,2059,10.61
兵庫県,7970,63.76,96,0.9,638,4.98,657,5.13,870,6.8,858,6.7,912,7.13,1029,8.04,1426,11.14,1484,11.59
奈良県,1955,63.06,9,0.9,144,4.24,171,5.03,250,7.35,206,6.06,226,6.65,266,7.82,353,10.38,330,9.71
和歌山県,1567,55.96,31,1.11,103,3.55,131,4.52,161,5.55,245,8.45,221,7.62,172,5.93,254,8.76,249,8.59
鳥取県,752,39.58,31,1.63,67,3.53,81,4.26,72,3.79,92,4.84,74,3.89,94,4.95,115,6.05,126,6.63
島根県,1335,58.04,20,0.87,75,3.26,74,3.22,127,5.52,189,8.22,125,5.43,155,6.74,318,13.83,252,10.96
岡山県,3110,57.59,119,2.2,215,3.98,265,4.91,296,5.48,332,6.15,393,7.28,384,7.11,577,10.69,529,9.8
広島県,5329,75.06,47,0.89,311,4.2,339,4.58,497,6.72,659,8.91,757,10.23,789,10.66,1032,13.95,898,12.14
山口県,2982,69.35,47,1.09,158,3.67,247,5.74,324,7.53,352,8.19,434,10.09,396,9.21,582,13.53,442,10.28
徳島県,1117,48.57,34,1.48,87,3.78,89,3.87,98,4.26,119,5.17,131,5.7,142,6.17,220,9.57,197,8.57
香川県,2271,81.11,26,0.93,137,4.89,119,4.25,203,7.25,238,8.5,319,11.39,300,10.71,482,17.21,447,15.96
愛媛県,3127,91.97,71,3.09,219,6.08,192,5.33,253,7.03,315,8.75,401,11.14,468,13,590,16.39,618,17.17
高知県,774,30.96,12,0.48,16,0.64,59,2.36,94,3.76,102,4.08,85,3.4,93,3.72,163,6.52,150,6
福岡県,9333,78.43,176,1.48,572,4.81,817,6.87,1047,8.8,1162,9.76,1154,9.7,1226,10.3,1557,13.08,1622,13.63
佐賀県,1719,78.14,28,1.33,93,4.04,123,5.35,217,9.43,240,10.43,255,11.09,213,9.26,276,12,274,11.91
長崎県,2462,55.95,28,0.64,126,2.86,193,4.39,247,5.61,290,6.59,325,7.39,343,7.8,478,10.86,432,9.82
熊本県,4887,99.73,95,1.94,266,5.43,331,6.76,424,8.65,578,11.56,651,13.02,736,14.72,953,19.06,853,17.06
大分県,4933,137.03,131,3.64,349,9.69,354,9.83,611,16.97,667,18.53,657,18.25,571,15.86,757,21.03,836,23.22
宮崎県,2835,81,41,1.24,216,6,250,6.94,287,7.97,350,9.72,295,8.19,377,10.47,519,14.42,500,13.89
鹿児島県,4102,82.04,90,1.76,237,4.65,261,5.12,389,7.63,403,7.9,558,10.94,584,11.68,740,14.8,840,16.8
沖縄県,889,27.78,72,2.25,62,1.94,75,2.34,112,3.5,72,2.25,97,3.03,99,3.09,140,4.38,160,5
,,,,,,,,,,,,,,,,,,,,
水痘,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,6679,2.17,367,0.14,1101,0.35,570,0.18,812,0.26,594,0.19,908,0.29,714,0.23,829,0.27,784,0.25
北海道,549,4.16,33,0.31,140,1.03,53,0.39,50,0.37,43,0.32,72,0.53,42,0.31,64,0.47,52,0.38
青森県,78,2.17,1,0.03,13,0.35,10,0.27,14,0.38,5,0.14,11,0.3,4,0.11,13,0.35,7,0.19
岩手県,85,2.18,8,0.21,14,0.36,5,0.13,9,0.23,21,0.54,11,0.28,4,0.1,8,0.21,5,0.13
宮城県,125,2.27,11,0.2,25,0.45,10,0.18,6,0.11,13,0.24,15,0.27,11,0.2,17,0.31,17,0.31
秋田県,47,1.52,3,0.2,9,0.26,6,0.18,8,0.24,3,0.09,8,0.24,4,0.12,2,0.06,4,0.12
山形県,60,2.4,4,0.22,8,0.3,3,0.11,10,0.37,3,0.11,7,0.26,5,0.19,8,0.31,12,0.46
福島県,114,2.38,8,0.16,17,0.35,8,0.16,9,0.18,13,0.27,7,0.15,14,0.29,22,0.46,16,0.33
茨城県,138,1.89,1,0.02,14,0.19,7,0.09,15,0.2,10,0.14,27,0.36,29,0.39,22,0.29,13,0.17
栃木県,61,1.33,3,0.09,10,0.21,7,0.15,7,0.15,8,0.17,7,0.15,8,0.17,2,0.04,9,0.19
群馬県,134,2.63,11,0.31,22,0.42,16,0.3,25,0.47,10,0.19,6,0.11,6,0.11,11,0.21,27,0.51
埼玉県,510,3.29,18,0.2,72,0.44,43,0.26,63,0.38,34,0.21,74,0.45,56,0.34,78,0.48,72,0.44
千葉県,213,1.7,8,0.08,32,0.25,14,0.11,36,0.28,13,0.1,24,0.19,22,0.17,22,0.17,42,0.33
東京都,739,2.89,32,0.16,157,0.6,57,0.22,92,0.35,61,0.23,95,0.36,65,0.25,93,0.35,87,0.33
神奈川県,685,3.13,16,0.11,98,0.43,39,0.17,86,0.38,58,0.25,116,0.5,68,0.3,107,0.47,97,0.43
新潟県,299,5.44,19,0.35,36,0.65,21,0.38,31,0.56,34,0.62,38,0.69,55,1,22,0.4,43,0.78
富山県,41,1.46,2,0.07,6,0.21,6,0.21,7,0.24,5,0.17,3,0.1,3,0.1,6,0.21,3,0.1
石川県,140,4.83,5,0.17,35,1.21,15,0.52,20,0.69,15,0.52,17,0.59,14,0.48,8,0.28,11,0.38
福井県,99,3.96,3,0.12,12,0.48,8,0.32,11,0.44,9,0.36,27,1.08,8,0.32,16,0.64,5,0.2
山梨県,21,0.88,1,0.04,4,0.17,2,0.08,2,0.08,2,0.08,2,0.08,0,0,6,0.25,2,0.08
長野県,103,1.98,3,0.08,17,0.31,7,0.13,9,0.17,5,0.09,15,0.28,12,0.22,26,0.48,9,0.17
岐阜県,33,0.62,0,0,4,0.08,6,0.11,5,0.09,8,0.15,2,0.04,3,0.06,2,0.04,3,0.06
静岡県,87,0.98,7,0.08,19,0.21,13,0.15,3,0.03,6,0.07,10,0.11,10,0.11,15,0.17,4,0.04
愛知県,120,0.66,11,0.06,21,0.12,18,0.1,14,0.08,12,0.07,11,0.06,10,0.05,7,0.04,16,0.09
三重県,72,1.67,6,0.17,7,0.16,5,0.11,8,0.18,7,0.16,10,0.22,9,0.2,9,0.2,11,0.25
滋賀県,81,2.38,9,0.38,17,0.47,10,0.28,12,0.33,5,0.14,7,0.19,7,0.19,7,0.19,7,0.19
京都府,86,1.18,1,0.01,18,0.24,8,0.11,15,0.2,4,0.05,12,0.16,7,0.09,13,0.18,8,0.11
大阪府,250,1.34,8,0.04,30,0.16,25,0.13,27,0.14,26,0.13,34,0.18,24,0.17,33,0.17,43,0.22
兵庫県,161,1.29,9,0.08,24,0.19,24,0.19,28,0.22,19,0.15,17,0.13,11,0.09,15,0.12,14,0.11
奈良県,49,1.58,0,0,4,0.12,2,0.06,5,0.15,14,0.41,8,0.24,12,0.35,3,0.09,1,0.03
和歌山県,54,1.93,0,0,9,0.31,4,0.14,12,0.41,3,0.1,13,0.45,4,0.14,7,0.24,2,0.07
鳥取県,24,1.26,3,0.16,5,0.26,3,0.16,1,0.05,2,0.11,3,0.16,4,0.21,2,0.11,1,0.05
島根県,28,1.22,0,0,4,0.17,3,0.13,5,0.22,2,0.09,4,0.17,3,0.13,1,0.04,6,0.26
岡山県,40,0.74,4,0.07,8,0.15,8,0.15,5,0.09,2,0.04,7,0.13,4,0.07,0,0,2,0.04
広島県,66,0.93,7,0.13,17,0.23,2,0.03,10,0.14,12,0.16,5,0.07,3,0.04,8,0.11,2,0.03
山口県,37,0.86,2,0.05,5,0.12,3,0.07,2,0.05,3,0.07,8,0.19,4,0.09,4,0.09,6,0.14
徳島県,19,0.83,1,0.04,1,0.04,0,0,6,0.26,5,0.22,2,0.09,1,0.04,3,0.13,0,0
香川県,32,1.14,2,0.07,8,0.29,4,0.14,6,0.21,1,0.04,2,0.07,4,0.14,2,0.07,3,0.11
愛媛県,26,0.76,3,0.13,4,0.11,1,0.03,3,0.08,2,0.06,3,0.08,5,0.14,4,0.11,1,0.03
高知県,26,1.04,2,0.08,5,0.2,2,0.08,10,0.4,0,0,3,0.12,1,0.04,3,0.12,0,0
福岡県,406,3.41,43,0.36,55,0.46,36,0.3,41,0.34,39,0.33,58,0.49,59,0.5,43,0.36,32,0.27
佐賀県,48,2.18,1,0.05,4,0.17,7,0.3,5,0.22,5,0.22,12,0.52,8,0.35,3,0.13,3,0.13
長崎県,107,2.43,12,0.27,18,0.41,6,0.14,16,0.36,8,0.18,17,0.39,7,0.16,15,0.34,8,0.18
熊本県,100,2.04,14,0.29,18,0.37,6,0.12,9,0.18,4,0.08,21,0.42,15,0.3,5,0.1,8,0.16
大分県,94,2.61,1,0.03,8,0.22,4,0.11,17,0.47,8,0.22,13,0.36,16,0.44,18,0.5,9,0.25
宮崎県,72,2.06,6,0.18,6,0.17,10,0.28,6,0.17,10,0.28,3,0.08,15,0.42,14,0.39,2,0.06
鹿児島県,127,2.54,14,0.27,15,0.29,11,0.22,11,0.22,11,0.22,24,0.47,9,0.18,14,0.28,18,0.36
沖縄県,193,6.03,11,0.34,26,0.81,12,0.38,20,0.63,11,0.34,17,0.53,29,0.91,26,0.81,41,1.28
,,,,,,,,,,,,,,,,,,,,
手足口病,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,2556,0.83,233,0.09,517,0.17,356,0.11,372,0.12,316,0.1,236,0.08,195,0.06,174,0.06,157,0.05
北海道,245,1.86,25,0.24,46,0.34,35,0.26,26,0.19,41,0.3,27,0.2,21,0.15,14,0.1,10,0.07
青森県,60,1.67,1,0.03,9,0.24,3,0.08,9,0.24,11,0.3,13,0.35,5,0.14,5,0.14,4,0.11
岩手県,82,2.1,11,0.28,16,0.41,8,0.21,10,0.26,12,0.31,8,0.21,7,0.18,10,0.26,0,0
宮城県,64,1.16,2,0.04,18,0.33,8,0.15,3,0.05,10,0.18,16,0.29,3,0.05,2,0.04,2,0.04
秋田県,43,1.39,5,0.33,9,0.26,7,0.21,11,0.32,8,0.24,1,0.03,1,0.03,0,0,1,0.03
山形県,129,5.16,7,0.39,17,0.63,21,0.78,18,0.67,22,0.81,14,0.52,8,0.31,12,0.46,10,0.38
福島県,32,0.67,6,0.12,11,0.22,6,0.12,3,0.06,3,0.06,3,0.06,0,0,0,0,0,0
茨城県,41,0.56,13,0.21,8,0.11,2,0.03,5,0.07,0,0,1,0.01,5,0.07,7,0.09,0,0
栃木県,59,1.28,10,0.3,8,0.17,6,0.13,12,0.25,8,0.17,2,0.04,9,0.19,1,0.02,3,0.06
群馬県,52,1.02,2,0.06,8,0.15,5,0.09,5,0.09,12,0.23,5,0.09,9,0.17,3,0.06,3,0.06
埼玉県,136,0.88,11,0.12,44,0.27,16,0.1,21,0.13,19,0.12,8,0.05,10,0.06,4,0.02,3,0.02
千葉県,76,0.61,8,0.08,17,0.13,11,0.09,9,0.07,4,0.03,10,0.08,5,0.04,7,0.05,5,0.04
東京都,144,0.56,11,0.05,35,0.13,19,0.07,21,0.08,14,0.05,11,0.04,12,0.05,9,0.03,12,0.05
神奈川県,126,0.58,11,0.07,26,0.11,24,0.11,26,0.11,10,0.04,12,0.05,6,0.03,4,0.02,7,0.03
新潟県,68,1.24,4,0.07,19,0.35,12,0.22,8,0.15,6,0.11,2,0.04,3,0.05,4,0.07,10,0.18
富山県,5,0.18,0,0,2,0.07,2,0.07,0,0,0,0,0,0,0,0,0,0,1,0.03
石川県,3,0.1,0,0,0,0,1,0.03,0,0,0,0,0,0,1,0.03,1,0.03,0,0
福井県,31,1.24,0,0,6,0.24,3,0.12,4,0.16,1,0.04,7,0.28,4,0.16,5,0.2,1,0.04
山梨県,17,0.71,2,0.08,6,0.25,2,0.08,5,0.21,0,0,0,0,1,0.04,0,0,1,0.04
長野県,86,1.65,8,0.2,22,0.41,16,0.3,15,0.28,9,0.17,3,0.06,3,0.06,4,0.07,6,0.11
岐阜県,11,0.21,0,0,1,0.02,4,0.08,2,0.04,0,0,1,0.02,0,0,2,0.04,1,0.02
静岡県,14,0.16,0,0,3,0.03,1,0.01,1,0.01,2,0.02,2,0.02,3,0.03,2,0.02,0,0
愛知県,26,0.14,0,0,9,0.05,3,0.02,6,0.03,4,0.02,3,0.02,0,0,0,0,1,0.01
三重県,7,0.16,1,0.03,2,0.04,0,0,0,0,2,0.04,1,0.02,0,0,0,0,1,0.02
滋賀県,8,0.24,1,0.04,3,0.08,1,0.03,2,0.06,0,0,0,0,0,0,1,0.03,0,0
京都府,34,0.47,0,0,5,0.07,2,0.03,5,0.07,6,0.08,8,0.11,4,0.05,2,0.03,2,0.03
大阪府,131,0.7,6,0.03,26,0.13,15,0.08,20,0.1,20,0.1,13,0.07,11,0.08,10,0.05,10,0.05
兵庫県,82,0.66,3,0.03,12,0.09,14,0.11,16,0.13,6,0.05,5,0.04,10,0.08,5,0.04,11,0.09
奈良県,30,0.97,0,0,5,0.15,2,0.06,1,0.03,2,0.06,3,0.09,1,0.03,11,0.32,5,0.15
和歌山県,16,0.57,2,0.07,5,0.17,4,0.14,2,0.07,2,0.07,1,0.03,0,0,0,0,0,0
鳥取県,12,0.63,1,0.05,1,0.05,3,0.16,2,0.11,3,0.16,0,0,2,0.11,0,0,0,0
島根県,16,0.7,0,0,2,0.09,1,0.04,3,0.13,6,0.26,1,0.04,2,0.09,0,0,1,0.04
岡山県,29,0.54,4,0.07,5,0.09,1,0.02,4,0.07,2,0.04,5,0.09,2,0.04,3,0.06,3,0.06
広島県,46,0.65,4,0.08,3,0.04,15,0.2,4,0.05,4,0.05,5,0.07,3,0.04,4,0.05,4,0.05
山口県,22,0.51,4,0.09,4,0.09,2,0.05,2,0.05,2,0.05,0,0,3,0.07,4,0.09,1,0.02
徳島県,51,2.22,0,0,8,0.35,10,0.43,14,0.61,7,0.3,2,0.09,4,0.17,3,0.13,3,0.13
香川県,17,0.61,5,0.18,3,0.11,0,0,1,0.04,5,0.18,0,0,2,0.07,1,0.04,0,0
愛媛県,20,0.59,0,0,9,0.25,2,0.06,2,0.06,3,0.08,2,0.06,2,0.06,0,0,0,0
高知県,33,1.32,2,0.08,8,0.32,9,0.36,6,0.24,3,0.12,2,0.08,3,0.12,0,0,0,0
福岡県,91,0.76,6,0.05,12,0.1,16,0.13,11,0.09,14,0.12,5,0.04,10,0.08,8,0.07,9,0.08
佐賀県,36,1.64,1,0.05,3,0.13,2,0.09,8,0.35,2,0.09,8,0.35,2,0.09,9,0.39,1,0.04
長崎県,44,1,6,0.14,10,0.23,10,0.23,7,0.16,4,0.09,5,0.11,1,0.02,0,0,1,0.02
熊本県,77,1.57,9,0.18,16,0.33,6,0.12,10,0.2,5,0.1,3,0.06,9,0.18,10,0.2,9,0.18
大分県,49,1.36,11,0.31,6,0.17,3,0.08,9,0.25,2,0.06,7,0.19,3,0.08,4,0.11,4,0.11
宮崎県,39,1.11,1,0.03,4,0.11,8,0.22,9,0.25,8,0.22,4,0.11,2,0.06,0,0,3,0.08
鹿児島県,83,1.66,26,0.51,23,0.45,10,0.2,8,0.16,8,0.16,3,0.06,1,0.02,2,0.04,2,0.04
沖縄県,33,1.03,3,0.09,2,0.06,5,0.16,6,0.19,4,0.13,4,0.13,2,0.06,1,0.03,6,0.19
,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,19628,6.39,429,0.16,2934,0.94,2981,0.95,3074,0.98,2838,0.91,2110,0.67,1737,0.56,1748,0.56,1777,0.57
北海道,681,5.16,6,0.06,65,0.48,80,0.59,86,0.63,90,0.66,67,0.49,74,0.54,99,0.73,114,0.84
青森県,831,23.08,12,0.38,131,3.54,110,2.97,127,3.43,143,3.86,74,2,72,1.95,91,2.46,71,1.92
岩手県,310,7.95,10,0.26,41,1.05,39,1,51,1.31,38,0.97,26,0.67,31,0.79,31,0.79,43,1.1
宮城県,680,12.36,19,0.35,104,1.89,98,1.78,101,1.84,92,1.67,79,1.44,53,0.96,59,1.07,75,1.36
秋田県,33,1.06,0,0,1,0.03,4,0.12,5,0.15,5,0.15,8,0.24,4,0.12,2,0.06,4,0.12
山形県,196,7.84,7,0.39,16,0.59,25,0.93,28,1.04,37,1.37,16,0.59,19,0.73,32,1.23,16,0.62
福島県,868,18.08,11,0.22,111,2.27,119,2.43,128,2.61,136,2.83,97,2.02,86,1.79,81,1.69,99,2.06
茨城県,412,5.64,6,0.1,61,0.81,56,0.75,50,0.67,62,0.84,54,0.72,37,0.49,48,0.64,38,0.51
栃木県,688,14.96,14,0.42,98,2.04,98,2.04,131,2.73,98,2.04,69,1.44,70,1.46,43,0.9,67,1.4
群馬県,291,5.71,8,0.23,36,0.68,35,0.66,46,0.87,41,0.77,31,0.58,35,0.66,23,0.43,36,0.68
埼玉県,2814,18.15,71,0.79,464,2.83,502,3.06,466,2.84,403,2.46,303,1.85,230,1.4,196,1.2,179,1.09
千葉県,2085,16.68,44,0.42,346,2.7,333,2.6,338,2.64,338,2.64,213,1.66,156,1.22,169,1.32,148,1.16
東京都,3522,13.76,77,0.38,640,2.43,610,2.32,599,2.28,470,1.79,379,1.44,272,1.03,254,0.96,221,0.84
神奈川県,2239,10.22,52,0.35,364,1.58,356,1.57,365,1.59,350,1.54,255,1.11,182,0.79,160,0.7,155,0.68
新潟県,365,6.64,4,0.07,46,0.84,43,0.78,50,0.91,47,0.85,37,0.67,41,0.75,46,0.84,51,0.93
富山県,146,5.21,1,0.04,3,0.1,17,0.59,19,0.66,15,0.52,21,0.72,24,0.83,22,0.76,24,0.83
石川県,93,3.21,2,0.07,14,0.48,9,0.31,9,0.31,8,0.28,11,0.38,6,0.21,9,0.31,25,0.86
福井県,34,1.36,1,0.04,0,0,5,0.2,7,0.28,3,0.12,6,0.24,2,0.08,5,0.2,5,0.2
山梨県,83,3.46,5,0.21,7,0.29,12,0.5,12,0.5,17,0.71,10,0.42,7,0.29,9,0.38,4,0.17
長野県,392,7.54,15,0.38,49,0.91,63,1.17,63,1.17,51,0.94,37,0.7,40,0.74,41,0.76,33,0.61
岐阜県,48,0.91,1,0.02,4,0.08,7,0.13,8,0.15,4,0.08,1,0.02,5,0.09,9,0.17,9,0.17
静岡県,276,3.1,5,0.06,34,0.38,45,0.51,39,0.44,32,0.36,39,0.44,27,0.3,26,0.29,29,0.33
愛知県,172,0.95,2,0.01,20,0.11,20,0.11,29,0.16,24,0.13,21,0.12,19,0.1,21,0.12,16,0.09
三重県,58,1.35,2,0.06,7,0.16,4,0.09,5,0.11,13,0.29,4,0.09,4,0.09,8,0.18,11,0.25
滋賀県,67,1.97,0,0,11,0.31,13,0.36,8,0.22,14,0.39,5,0.14,4,0.11,7,0.19,5,0.14
京都府,328,4.49,6,0.09,39,0.52,55,0.73,37,0.5,48,0.64,42,0.56,30,0.4,34,0.47,37,0.49
大阪府,264,1.41,2,0.01,26,0.13,33,0.17,42,0.22,45,0.23,29,0.15,25,0.18,32,0.16,30,0.15
兵庫県,260,2.08,3,0.03,32,0.25,34,0.27,35,0.27,45,0.35,20,0.16,29,0.23,24,0.19,38,0.3
奈良県,76,2.45,0,0,7,0.21,12,0.35,10,0.29,9,0.26,15,0.44,8,0.24,7,0.21,8,0.24
和歌山県,22,0.79,2,0.07,1,0.03,1,0.03,4,0.14,1,0.03,3,0.1,1,0.03,1,0.03,8,0.28
鳥取県,71,3.74,4,0.21,10,0.53,15,0.79,9,0.47,8,0.42,2,0.11,8,0.42,8,0.42,7,0.37
島根県,66,2.87,0,0,2,0.09,4,0.17,3,0.13,7,0.3,3,0.13,11,0.48,11,0.48,25,1.09
岡山県,24,0.44,2,0.04,4,0.07,4,0.07,3,0.06,2,0.04,1,0.02,2,0.04,5,0.09,1,0.02
広島県,53,0.75,1,0.02,9,0.12,3,0.04,11,0.15,9,0.12,7,0.09,3,0.04,6,0.08,4,0.05
山口県,71,1.65,4,0.09,11,0.26,9,0.21,8,0.19,8,0.19,8,0.19,10,0.23,6,0.14,7,0.16
徳島県,24,1.04,1,0.04,6,0.26,3,0.13,5,0.22,0,0,3,0.13,1,0.04,4,0.17,1,0.04
香川県,18,0.64,2,0.07,3,0.11,4,0.14,2,0.07,0,0,1,0.04,1,0.04,2,0.07,3,0.11
愛媛県,44,1.29,0,0,2,0.06,4,0.11,6,0.17,8,0.22,6,0.17,8,0.22,7,0.19,3,0.08
高知県,194,7.76,5,0.2,23,0.92,18,0.72,38,1.52,27,1.08,29,1.16,21,0.84,13,0.52,20,0.8
福岡県,191,1.61,8,0.07,24,0.2,18,0.15,24,0.2,25,0.21,17,0.14,21,0.18,30,0.25,24,0.2
佐賀県,34,1.55,0,0,3,0.13,0,0,3,0.13,3,0.13,2,0.09,5,0.22,8,0.35,10,0.43
長崎県,97,2.2,4,0.09,12,0.27,21,0.48,14,0.32,15,0.34,13,0.3,3,0.07,10,0.23,5,0.11
熊本県,86,1.76,3,0.06,8,0.16,7,0.14,10,0.2,9,0.18,7,0.14,10,0.2,14,0.28,18,0.36
大分県,30,0.83,0,0,7,0.19,1,0.03,4,0.11,5,0.14,1,0.03,6,0.17,2,0.06,4,0.11
宮崎県,147,4.2,5,0.15,17,0.47,15,0.42,16,0.44,21,0.58,19,0.53,20,0.56,17,0.47,17,0.47
鹿児島県,50,1,1,0.02,4,0.08,5,0.1,4,0.08,0,0,8,0.16,6,0.12,5,0.1,17,0.34
沖縄県,94,2.94,1,0.03,11,0.34,12,0.38,16,0.5,12,0.38,11,0.34,8,0.25,11,0.34,12,0.38
,,,,,,,,,,,,,,,,,,,,
突発性発しん,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,4957,1.61,139,0.05,635,0.2,579,0.19,623,0.2,619,0.2,622,0.2,551,0.18,624,0.2,565,0.18
北海道,148,1.12,2,0.02,19,0.14,24,0.18,23,0.17,20,0.15,20,0.15,14,0.1,14,0.1,12,0.09
青森県,67,1.86,1,0.03,6,0.16,12,0.32,12,0.32,12,0.32,8,0.22,3,0.08,8,0.22,5,0.14
岩手県,68,1.74,2,0.05,6,0.15,7,0.18,8,0.21,13,0.33,13,0.33,8,0.21,4,0.1,7,0.18
宮城県,84,1.53,5,0.09,12,0.22,12,0.22,10,0.18,8,0.15,8,0.15,10,0.18,14,0.25,5,0.09
秋田県,33,1.06,0,0,3,0.09,2,0.06,2,0.06,5,0.15,7,0.21,8,0.24,4,0.12,2,0.06
山形県,58,2.32,3,0.17,9,0.33,8,0.3,9,0.33,7,0.26,3,0.11,3,0.12,9,0.35,7,0.27
福島県,95,1.98,3,0.06,16,0.33,6,0.12,14,0.29,14,0.29,13,0.27,7,0.15,10,0.21,12,0.25
茨城県,75,1.03,4,0.07,8,0.11,8,0.11,10,0.13,6,0.08,9,0.12,9,0.12,12,0.16,9,0.12
栃木県,93,2.02,6,0.18,13,0.27,14,0.29,11,0.23,17,0.35,10,0.21,8,0.17,6,0.13,8,0.17
群馬県,102,2,3,0.09,9,0.17,9,0.17,14,0.26,14,0.26,10,0.19,8,0.15,17,0.32,18,0.34
埼玉県,256,1.65,6,0.07,25,0.15,32,0.2,41,0.25,37,0.23,27,0.16,26,0.16,36,0.22,26,0.16
千葉県,163,1.3,4,0.04,27,0.21,19,0.15,17,0.13,15,0.12,29,0.23,19,0.15,22,0.17,11,0.09
