報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024年18週(04月29日～05月05日),2024年05月08日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
鹿児島県,20095,228.35,1325,14.89,1523,17.11,1818,20.43,1378,15.48,1960,22.02,2023,22.73,1783,20.03,1259,14.15,1047,11.76,1133,12.73,1283,14.42,1322,14.85,1057,11.88,468,5.32,297,3.34,223,2.51,125,1.4,71,0.8
沖縄県,16600,313.21,1018,18.85,1195,22.13,1746,32.33,1719,31.83,2214,41,1604,29.7,1530,28.33,1152,21.33,930,17.22,820,15.19,724,13.41,562,10.41,463,8.57,287,5.42,202,3.81,148,2.79,166,3.13,120,2.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＲＳウイルス感染症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,33157,10.6,131,0.04,198,0.06,235,0.08,358,0.11,380,0.12,438,0.14,466,0.15,661,0.21,900,0.29,1171,0.37,1493,0.48,1812,0.58,2494,0.8,3156,1.01,4453,1.42,5503,1.76,5403,1.73,3905,1.26
北海道,2420,17.66,47,0.35,59,0.42,60,0.43,80,0.58,102,0.73,80,0.58,89,0.64,105,0.76,105,0.76,130,0.94,153,1.11,153,1.11,147,1.07,173,1.26,267,1.95,264,1.93,247,1.8,159,1.21
青森県,24,0.67,1,0.03,1,0.03,2,0.05,0,0,2,0.05,0,0,0,0,0,0,5,0.14,1,0.03,2,0.05,0,0,0,0,1,0.03,3,0.08,0,0,3,0.08,3,0.09
岩手県,73,1.87,1,0.03,6,0.15,4,0.1,8,0.21,6,0.15,0,0,2,0.05,0,0,1,0.03,4,0.1,3,0.08,3,0.08,3,0.08,4,0.1,8,0.2,3,0.08,5,0.13,12,0.3
