報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024年18週(04月29日～05月05日),2024年05月08日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
福島県,3466,70.73,73,1.49,134,2.73,217,4.43,235,4.8,249,5.08,288,5.88,281,5.73,232,4.73,228,4.65,285,5.82,234,4.78,167,3.41,122,2.49,148,3.02,116,2.37,180,3.67,169,3.45,108,2.2
茨城県,5974,79.65,218,2.91,355,4.73,518,6.91,550,7.33,505,6.73,477,6.36,464,6.19,374,4.99,352,4.69,340,4.53,315,4.2,289,3.85,215,2.87,209,2.79,194,2.59,237,3.16,235,3.13,127,1.69
栃木県,2335,48.65,103,2.15,179,3.73,253,5.27,192,4,233,4.85,183,3.81,151,3.15,123,2.56,148,3.08,131,2.73,91,1.9,80,1.67,84,1.75,83,1.73,106,2.21,84,1.75,74,1.54,37,0.77
群馬県,4844,93.15,119,2.25,254,4.79,425,8.02,383,7.23,422,7.96,446,8.42,324,6.11,284,5.36,296,5.58,277,5.23,259,4.89,189,3.57,244,4.6,225,4.25,180,3.4,163,3.08,230,4.34,124,2.48
埼玉県,17636,108.86,526,3.31,1181,7.2,1655,10.09,1692,10.32,1473,8.98,1221,7.49,1181,7.25,1040,6.38,1005,6.13,955,5.82,932,5.68,693,4.23,761,4.67,651,4.02,707,4.36,719,4.44,781,4.85,463,2.93
千葉県,12348,98.78,461,3.66,865,6.87,1172,9.38,1102,8.89,1018,8.02,817,6.54,731,5.85,649,5.19,676,5.41,761,6.09,642,5.14,568,4.54,552,4.38,471,3.74,464,3.68,530,4.21,598,4.78,271,2.22
東京都,27923,106.98,911,3.57,2056,7.88,2785,10.67,2805,10.75,2488,9.53,2113,8.06,1611,6.17,1492,5.69,1468,5.6,1408,5.37,1395,5.32,1096,4.18,1109,4.23,1010,3.84,1031,3.92,1183,4.5,1284,4.9,678,2.63
神奈川県,18078,78.94,705,3.16,1487,6.49,1980,8.72,1909,8.3,1671,7.36,1422,6.16,1035,4.46,914,3.94,909,3.95,899,3.91,843,3.67,611,2.63,608,2.64,650,2.81,648,2.81,664,2.85,751,3.31,372,1.67
新潟県,3759,68.35,68,1.24,131,2.38,194,3.53,235,4.27,316,5.75,261,4.75,225,4.09,264,4.8,257,4.67,255,4.64,220,4,201,3.65,154,2.8,155,2.82,225,4.09,257,4.67,222,4.04,119,2.16
富山県,4733,169.04,99,3.41,114,3.93,170,5.86,221,7.62,226,7.79,254,8.76,237,8.17,272,9.38,385,13.28,348,12,365,12.59,315,10.86,325,11.21,260,9.29,290,10.36,321,11.46,334,11.93,197,7.04
石川県,4578,163.5,108,4,204,7.56,315,11.67,379,13.54,330,11.79,371,13.25,314,10.83,344,11.86,307,10.59,261,9,296,10.21,173,5.97,210,7.24,181,6.24,179,6.17,227,7.83,243,8.38,136,4.69
福井県,3080,123.2,81,3.24,145,5.8,198,7.92,191,7.64,255,10.2,260,10.4,146,5.84,184,7.36,209,8.36,231,9.24,213,8.52,176,7.04,154,6.16,110,4.4,144,5.76,132,5.28,162,6.48,89,3.56
山梨県,1572,65.5,49,2.04,80,3.33,134,5.58,118,4.92,91,3.79,102,4.25,103,4.29,83,3.46,100,4.17,99,4.13,84,3.5,108,4.5,99,4.13,61,2.54,60,2.5,69,2.88,84,3.5,48,2
長野県,4130,76.48,110,2.04,217,4.02,276,5.11,312,5.78,347,6.43,301,5.57,259,4.8,240,4.44,253,4.69,253,4.69,254,4.7,230,4.26,187,3.46,122,2.26,176,3.26,213,3.94,215,3.98,165,3.06
岐阜県,3288,62.04,73,1.38,189,3.57,270,5.09,227,4.28,263,4.96,235,4.43,241,4.55,219,4.13,197,3.72,201,3.79,210,3.96,166,3.13,158,2.98,135,2.55,125,2.36,142,2.68,161,3.04,76,1.43
静岡県,6876,77.26,252,2.83,395,4.44,492,5.53,654,7.35,555,6.24,514,5.78,453,5.09,435,4.89,398,4.47,480,5.39,388,4.36,300,3.37,297,3.34,219,2.46,250,2.81,281,3.16,305,3.43,208,2.34
愛知県,12606,69.26,349,1.92,738,4.05,1020,5.6,1087,5.97,1034,5.68,1010,5.55,889,4.88,867,4.76,736,4.04,769,4.23,750,4.12,584,3.21,529,2.91,435,2.39,496,2.73,484,2.66,554,3.04,275,1.51
三重県,4683,104.07,118,2.62,240,5.33,333,7.4,323,7.18,378,8.4,345,7.67,334,7.42,285,6.33,284,6.31,248,5.51,280,6.22,262,5.82,220,4.89,169,3.76,258,5.73,250,5.56,223,4.96,133,2.96
滋賀県,2681,76.6,58,1.61,156,4.33,162,4.63,169,4.83,183,5.08,166,4.61,149,4.14,199,5.53,178,4.94,177,4.92,159,4.42,130,3.61,122,3.39,117,3.25,116,3.22,149,4.14,204,5.67,87,2.56
京都府,6228,83.04,112,1.51,241,3.17,389,5.19,426,5.68,411,5.48,440,5.87,374,4.92,342,4.5,378,4.97,387,5.09,361,4.75,323,4.25,350,4.61,347,4.51,342,4.44,330,4.29,473,6.14,202,2.66
大阪府,19719,100.1,488,2.48,917,4.65,1432,7.27,1542,7.83,1638,8.31,1446,7.3,1163,5.87,1119,5.65,1179,5.95,1228,6.2,1197,6.05,1005,5.08,928,4.69,806,4.11,908,4.63,998,5.09,1107,5.65,618,3.17
兵庫県,15524,121.28,342,2.67,728,5.69,1066,8.33,1211,9.46,1081,8.45,1174,9.17,843,6.59,969,7.57,981,7.66,1089,8.51,1022,7.98,769,6.01,773,6.04,659,5.11,704,5.46,749,5.81,888,6.88,476,3.69
奈良県,3398,102.97,73,2.15,189,5.56,305,8.97,281,8.26,285,8.38,287,8.44,202,6.12,181,5.48,174,5.27,187,5.67,211,6.39,144,4.24,167,4.91,128,3.76,132,3.88,174,5.12,180,5.29,98,2.97
和歌山県,3031,101.03,58,1.93,118,3.93,120,4,147,4.9,206,6.87,196,6.53,199,6.63,212,7.07,207,6.9,198,6.6,265,8.83,198,6.6,233,7.77,107,3.57,137,4.57,165,5.5,158,5.27,107,3.57
鳥取県,2078,109.37,33,1.74,92,4.84,131,6.89,108,5.68,141,7.42,136,7.16,151,7.95,142,7.47,144,7.58,159,8.37,129,6.79,106,5.58,86,4.53,107,5.63,103,5.42,122,6.42,108,5.68,80,4.21
島根県,2707,117.7,72,3.13,176,7.65,288,12.52,278,12.09,271,11.78,214,9.3,142,6.17,160,6.96,149,6.48,149,6.48,139,6.04,107,4.65,124,5.39,121,5.26,93,4.04,94,4.09,69,3,61,2.65
岡山県,5139,95.17,177,3.28,242,4.48,285,5.28,327,6.06,421,7.8,406,7.52,431,7.98,396,7.33,349,6.46,296,5.48,358,6.63,282,5.22,230,4.26,184,3.41,181,3.35,201,3.72,214,3.96,159,2.94
広島県,8541,123.78,237,3.39,441,6.3,682,9.74,704,10.06,740,10.72,720,10.59,569,8.25,599,8.56,562,8.03,515,7.36,532,7.6,389,5.56,371,5.3,295,4.34,289,4.31,335,5,359,5.36,202,2.97
山口県,3851,89.56,142,3.3,265,6.16,345,8.02,271,6.3,275,6.4,273,6.35,193,4.49,208,4.84,231,5.37,230,5.35,265,6.16,177,4.12,171,3.98,152,3.53,185,4.3,164,3.81,185,4.3,119,2.77
徳島県,1752,76.17,86,3.74,85,3.7,178,7.74,141,6.13,128,5.57,137,5.96,113,4.91,98,4.26,100,4.35,102,4.43,85,3.7,103,4.48,90,3.91,66,2.87,70,3.04,65,2.83,76,3.3,29,1.26
香川県,3918,139.93,154,5.5,275,9.82,376,13.43,385,13.75,379,13.54,375,13.39,239,8.54,220,7.86,229,8.18,179,6.39,204,7.29,155,5.54,142,5.07,154,5.5,118,4.21,135,4.82,124,4.43,75,2.68
愛媛県,5574,154.83,178,4.94,270,7.3,433,11.7,409,11.05,373,10.08,419,11.32,357,9.65,340,9.19,409,11.05,412,11.14,354,9.57,280,7.57,289,7.81,243,6.57,233,6.3,242,6.54,211,5.7,122,3.3
高知県,1540,61.6,18,0.69,77,2.96,111,4.27,109,4.19,137,5.27,169,6.5,88,3.38,87,3.35,117,4.5,114,4.38,97,3.73,77,2.96,71,2.84,63,2.52,56,2.24,44,1.76,59,2.36,46,1.84
福岡県,10531,87.76,484,4.03,681,5.68,875,7.29,751,6.26,728,6.07,626,5.22,620,5.17,560,4.67,531,4.43,611,5.09,630,5.25,475,3.96,503,4.19,466,3.88,498,4.15,541,4.51,592,4.93,359,2.99
佐賀県,1394,60.61,68,2.96,89,3.87,132,5.74,135,5.87,92,4,90,3.91,85,3.7,93,4.04,110,4.78,96,4.17,86,3.74,64,2.78,62,2.7,56,2.43,36,1.57,34,1.48,44,1.91,22,0.96
長崎県,2746,63.86,125,2.84,161,3.66,298,6.77,218,4.95,192,4.36,173,3.93,116,2.64,136,3.16,167,3.88,228,5.3,180,4.19,145,3.37,118,2.74,111,2.58,107,2.43,100,2.27,117,2.72,54,1.23
熊本県,6101,122.02,197,3.94,371,7.42,575,11.5,517,10.34,469,9.38,421,8.42,345,6.9,314,6.28,296,5.92,388,7.76,375,7.5,307,6.14,287,5.74,225,4.5,247,4.94,278,5.56,313,6.26,176,3.52
大分県,6137,170.47,212,5.89,290,8.06,455,12.64,373,10.36,474,13.17,531,14.75,364,10.11,322,8.94,389,10.81,391,10.86,330,9.17,302,8.39,324,9,261,7.25,271,7.53,296,8.22,328,9.11,224,6.22
宮崎県,5037,139.92,205,5.69,379,10.53,507,14.08,448,12.44,464,12.89,411,11.42,314,8.72,362,10.06,298,8.28,300,8.33,234,6.5,203,5.64,172,4.78,165,4.58,147,4.08,139,3.86,192,5.33,97,2.69
鹿児島県,6970,139.4,255,5,480,9.41,623,12.22,547,10.73,623,12.22,495,9.71,494,9.69,383,7.51,370,7.25,393,7.71,395,7.75,321,6.29,273,5.35,237,4.74,280,5.49,341,6.69,297,5.82,163,3.2
沖縄県,1090,36.33,62,2,66,2.13,53,1.71,67,2.16,79,2.55,63,2.03,75,2.42,69,2.23,46,1.48,66,2.13,81,2.61,65,2.1,39,1.26,66,2.2,60,2,47,1.57,48,1.6,38,1.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水痘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,7664,2.45,452,0.15,450,0.14,480,0.15,406,0.13,434,0.14,427,0.14,365,0.12,399,0.13,404,0.13,428,0.14,434,0.14,410,0.13,407,0.13,389,0.12,449,0.14,451,0.14,549,0.18,330,0.11
北海道,443,3.23,17,0.13,30,0.22,20,0.14,29,0.21,21,0.15,17,0.12,23,0.17,17,0.12,17,0.12,21,0.15,33,0.24,19,0.14,26,0.19,20,0.15,33,0.24,32,0.23,49,0.36,19,0.15
青森県,63,1.75,5,0.14,8,0.22,6,0.16,2,0.05,2,0.05,2,0.05,1,0.03,6,0.16,2,0.05,9,0.24,5,0.14,2,0.05,0,0,2,0.05,2,0.05,1,0.03,4,0.11,4,0.11
岩手県,83,2.13,7,0.18,10,0.26,9,0.23,4,0.1,1,0.03,5,0.13,10,0.26,5,0.13,8,0.21,8,0.21,1,0.03,2,0.05,2,0.05,2,0.05,1,0.03,1,0.03,5,0.13,2,0.05
宮城県,132,2.44,10,0.18,12,0.22,4,0.07,4,0.07,8,0.15,5,0.09,12,0.22,5,0.09,7,0.13,14,0.25,11,0.2,8,0.15,4,0.07,6,0.11,5,0.09,4,0.08,8,0.15,5,0.09
秋田県,78,2.36,11,0.35,7,0.21,5,0.15,4,0.12,1,0.03,4,0.12,0,0,5,0.15,2,0.06,3,0.09,4,0.12,12,0.36,3,0.09,5,0.15,6,0.18,2,0.06,1,0.03,3,0.09
山形県,77,2.75,5,0.18,4,0.14,1,0.04,5,0.18,3,0.11,8,0.29,7,0.25,6,0.21,1,0.04,5,0.18,7,0.25,3,0.11,4,0.14,2,0.07,5,0.18,4,0.14,5,0.18,2,0.07
福島県,148,3.02,5,0.1,14,0.29,4,0.08,9,0.18,7,0.14,13,0.27,8,0.16,7,0.14,5,0.1,17,0.35,9,0.18,10,0.2,2,0.04,11,0.22,2,0.04,10,0.2,6,0.12,9,0.18
茨城県,129,1.72,8,0.11,6,0.08,5,0.07,3,0.04,5,0.07,6,0.08,5,0.07,6,0.08,10,0.13,4,0.05,5,0.07,7,0.09,16,0.21,7,0.09,11,0.15,9,0.12,9,0.12,7,0.09
栃木県,49,1.02,0,0,1,0.02,3,0.06,1,0.02,2,0.04,8,0.17,3,0.06,3,0.06,5,0.1,4,0.08,3,0.06,4,0.08,3,0.06,1,0.02,5,0.1,2,0.04,1,0.02,0,0
群馬県,89,1.71,3,0.06,9,0.17,3,0.06,6,0.11,5,0.09,7,0.13,5,0.09,8,0.15,6,0.11,3,0.06,4,0.08,0,0,7,0.13,4,0.08,3,0.06,7,0.13,5,0.09,4,0.08
埼玉県,652,4.02,29,0.18,41,0.25,43,0.26,25,0.15,36,0.22,23,0.14,24,0.15,41,0.25,35,0.21,40,0.24,37,0.23,40,0.24,39,0.24,44,0.27,36,0.22,49,0.3,47,0.29,23,0.15
千葉県,312,2.5,15,0.12,15,0.12,24,0.19,13,0.1,17,0.13,12,0.1,14,0.11,16,0.13,22,0.18,14,0.11,27,0.22,10,0.08,11,0.09,17,0.13,21,0.17,21,0.17,32,0.26,11,0.09
東京都,802,3.07,31,0.12,50,0.19,43,0.16,42,0.16,25,0.1,53,0.2,32,0.12,65,0.25,49,0.19,57,0.22,48,0.18,56,0.21,49,0.19,41,0.16,49,0.19,34,0.13,49,0.19,29,0.11
神奈川県,640,2.79,69,0.31,40,0.17,42,0.19,34,0.15,42,0.19,44,0.19,35,0.15,27,0.12,30,0.13,34,0.15,22,0.1,30,0.13,23,0.1,39,0.17,33,0.14,27,0.12,43,0.19,26,0.12
新潟県,151,2.75,10,0.18,9,0.16,4,0.07,8,0.15,5,0.09,7,0.13,1,0.02,20,0.36,15,0.27,14,0.25,10,0.18,8,0.15,7,0.13,8,0.15,7,0.13,5,0.09,6,0.11,7,0.13
富山県,89,3.18,3,0.1,12,0.41,14,0.48,4,0.14,4,0.14,6,0.21,1,0.03,1,0.03,3,0.1,0,0,2,0.07,1,0.03,9,0.31,5,0.18,6,0.21,6,0.21,7,0.25,5,0.18
石川県,148,5.29,7,0.26,11,0.41,3,0.11,16,0.57,13,0.46,15,0.54,11,0.38,6,0.21,8,0.28,6,0.21,7,0.24,9,0.31,3,0.1,3,0.1,4,0.14,7,0.24,14,0.48,5,0.17
福井県,50,2,1,0.04,2,0.08,5,0.2,4,0.16,8,0.32,3,0.12,3,0.12,2,0.08,1,0.04,4,0.16,1,0.04,2,0.08,2,0.08,1,0.04,1,0.04,3,0.12,5,0.2,2,0.08
山梨県,42,1.75,0,0,1,0.04,0,0,0,0,15,0.63,3,0.13,6,0.25,1,0.04,2,0.08,0,0,1,0.04,5,0.21,3,0.13,2,0.08,0,0,2,0.08,1,0.04,0,0
長野県,98,1.81,2,0.04,2,0.04,7,0.13,8,0.15,6,0.11,6,0.11,1,0.02,2,0.04,7,0.13,6,0.11,11,0.2,7,0.13,12,0.22,1,0.02,3,0.06,2,0.04,9,0.17,6,0.11
岐阜県,45,0.85,0,0,4,0.08,2,0.04,2,0.04,2,0.04,4,0.08,1,0.02,2,0.04,3,0.06,1,0.02,5,0.09,3,0.06,1,0.02,2,0.04,1,0.02,4,0.08,5,0.09,3,0.06
静岡県,182,2.04,11,0.12,7,0.08,17,0.19,10,0.11,4,0.04,19,0.21,7,0.08,11,0.12,5,0.06,9,0.1,22,0.25,8,0.09,8,0.09,7,0.08,15,0.17,6,0.07,5,0.06,11,0.12
愛知県,260,1.43,19,0.1,9,0.05,13,0.07,16,0.09,13,0.07,10,0.05,7,0.04,13,0.07,10,0.05,9,0.05,15,0.08,17,0.09,17,0.09,11,0.06,20,0.11,24,0.13,18,0.1,19,0.1
三重県,80,1.78,5,0.11,0,0,5,0.11,5,0.11,5,0.11,8,0.18,1,0.02,5,0.11,4,0.09,4,0.09,6,0.13,6,0.13,5,0.11,3,0.07,4,0.09,5,0.11,2,0.04,7,0.16
滋賀県,83,2.37,4,0.11,6,0.17,6,0.17,4,0.11,0,0,5,0.14,7,0.19,3,0.08,5,0.14,11,0.31,7,0.19,6,0.17,4,0.11,2,0.06,3,0.08,1,0.03,9,0.25,0,0
京都府,166,2.21,7,0.09,11,0.14,17,0.23,9,0.12,11,0.15,9,0.12,6,0.08,4,0.05,9,0.12,3,0.04,15,0.2,7,0.09,6,0.08,7,0.09,7,0.09,12,0.16,12,0.16,14,0.18
大阪府,452,2.29,30,0.15,30,0.15,31,0.16,27,0.14,27,0.14,28,0.14,18,0.09,16,0.08,25,0.13,26,0.13,18,0.09,28,0.14,27,0.14,12,0.06,39,0.2,25,0.13,28,0.14,17,0.09
兵庫県,270,2.11,24,0.19,7,0.05,19,0.15,26,0.2,15,0.12,19,0.15,10,0.08,18,0.14,3,0.02,13,0.1,12,0.09,10,0.08,12,0.09,20,0.16,13,0.1,23,0.18,19,0.15,7,0.05
奈良県,48,1.45,2,0.06,2,0.06,7,0.21,1,0.03,10,0.29,4,0.12,5,0.15,6,0.18,1,0.03,2,0.06,1,0.03,2,0.06,2,0.06,0,0,1,0.03,0,0,1,0.03,1,0.03
和歌山県,52,1.73,2,0.07,2,0.07,2,0.07,4,0.13,0,0,0,0,1,0.03,2,0.07,1,0.03,5,0.17,3,0.1,6,0.2,4,0.13,4,0.13,4,0.13,1,0.03,9,0.3,2,0.07
鳥取県,35,1.84,0,0,2,0.11,0,0,1,0.05,1,0.05,2,0.11,2,0.11,1,0.05,3,0.16,1,0.05,5,0.26,2,0.11,6,0.32,0,0,6,0.32,2,0.11,0,0,1,0.05
島根県,40,1.74,5,0.22,3,0.13,2,0.09,3,0.13,1,0.04,1,0.04,1,0.04,1,0.04,1,0.04,0,0,0,0,2,0.09,2,0.09,5,0.22,3,0.13,3,0.13,7,0.3,0,0
岡山県,64,1.19,6,0.11,4,0.07,5,0.09,3,0.06,3,0.06,6,0.11,2,0.04,3,0.06,5,0.09,4,0.07,1,0.02,9,0.17,1,0.02,3,0.06,3,0.06,2,0.04,2,0.04,2,0.04
広島県,134,1.94,14,0.2,8,0.11,16,0.23,4,0.06,8,0.12,5,0.07,8,0.12,4,0.06,7,0.1,8,0.11,3,0.04,6,0.09,6,0.09,5,0.07,10,0.15,9,0.13,11,0.16,2,0.03
山口県,45,1.05,6,0.14,5,0.12,5,0.12,1,0.02,5,0.12,1,0.02,4,0.09,4,0.09,3,0.07,2,0.05,0,0,1,0.02,1,0.02,2,0.05,1,0.02,1,0.02,3,0.07,0,0
徳島県,37,1.61,0,0,0,0,1,0.04,0,0,2,0.09,1,0.04,2,0.09,1,0.04,4,0.17,3,0.13,2,0.09,1,0.04,2,0.09,2,0.09,5,0.22,2,0.09,8,0.35,1,0.04
香川県,50,1.79,6,0.21,2,0.07,3,0.11,1,0.04,3,0.11,2,0.07,2,0.07,2,0.07,8,0.29,2,0.07,4,0.14,1,0.04,5,0.18,2,0.07,1,0.04,3,0.11,1,0.04,2,0.07
愛媛県,82,2.28,5,0.14,2,0.05,8,0.22,3,0.08,7,0.19,5,0.14,6,0.16,6,0.16,6,0.16,4,0.11,3,0.08,2,0.05,8,0.22,2,0.05,3,0.08,4,0.11,4,0.11,4,0.11
高知県,56,2.24,2,0.08,4,0.15,2,0.08,1,0.04,1,0.04,1,0.04,4,0.15,1,0.04,1,0.04,2,0.08,5,0.19,5,0.19,3,0.12,3,0.12,6,0.24,1,0.04,8,0.32,6,0.24
福岡県,486,4.05,33,0.28,24,0.2,24,0.2,36,0.3,34,0.28,27,0.23,24,0.2,15,0.13,20,0.17,21,0.18,18,0.15,25,0.21,13,0.11,31,0.26,17,0.14,56,0.47,38,0.32,30,0.25
佐賀県,60,2.61,5,0.22,4,0.17,6,0.26,1,0.04,2,0.09,0,0,1,0.04,3,0.13,3,0.13,8,0.35,5,0.22,5,0.22,3,0.13,1,0.04,4,0.17,3,0.13,4,0.17,2,0.09
長崎県,84,1.95,3,0.07,6,0.14,4,0.09,7,0.16,6,0.14,7,0.16,14,0.32,2,0.05,0,0,4,0.09,2,0.05,3,0.07,4,0.09,3,0.07,7,0.16,4,0.09,7,0.16,1,0.02
熊本県,180,3.6,4,0.08,11,0.22,23,0.46,5,0.1,26,0.52,3,0.06,5,0.1,11,0.22,15,0.3,6,0.12,9,0.18,5,0.1,14,0.28,8,0.16,10,0.2,8,0.16,12,0.24,5,0.1
大分県,60,1.67,5,0.14,2,0.06,2,0.06,3,0.08,5,0.14,2,0.06,0,0,2,0.06,2,0.06,5,0.14,4,0.11,2,0.06,5,0.14,8,0.22,1,0.03,7,0.19,1,0.03,4,0.11
宮崎県,80,2.22,3,0.08,1,0.03,2,0.06,4,0.11,2,0.06,1,0.03,4,0.11,3,0.08,1,0.03,3,0.08,2,0.06,3,0.08,6,0.17,8,0.22,13,0.36,5,0.14,13,0.36,6,0.17
鹿児島県,113,2.26,5,0.1,2,0.04,4,0.08,1,0.02,6,0.12,3,0.06,15,0.29,5,0.1,15,0.29,5,0.1,12,0.24,2,0.04,8,0.16,6,0.12,7,0.14,6,0.12,7,0.14,4,0.08
沖縄県,145,4.83,8,0.26,8,0.26,9,0.29,7,0.23,9,0.29,7,0.23,6,0.19,6,0.19,9,0.29,4,0.13,7,0.23,8,0.26,9,0.29,11,0.37,12,0.4,6,0.2,9,0.3,10,0.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手足口病,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,14205,4.54,442,0.14,411,0.13,547,0.17,626,0.2,684,0.22,590,0.19,532,0.17,593,0.19,684,0.22,550,0.18,652,0.21,522,0.17,609,0.19,657,0.21,1014,0.32,1405,0.45,1797,0.58,1890,0.61
北海道,46,0.34,5,0.04,6,0.04,2,0.01,5,0.04,1,0.01,2,0.01,4,0.03,3,0.02,2,0.01,4,0.03,2,0.01,2,0.01,2,0.01,0,0,1,0.01,0,0,5,0.04,0,0
青森県,37,1.03,3,0.08,6,0.16,7,0.19,4,0.11,2,0.05,3,0.08,1,0.03,1,0.03,0,0,2,0.05,0,0,0,0,1,0.03,0,0,1,0.03,1,0.03,5,0.14,0,0
岩手県,76,1.95,6,0.15,7,0.18,14,0.36,9,0.23,13,0.33,5,0.13,7,0.18,1,0.03,0,0,1,0.03,7,0.18,1,0.03,1,0.03,2,0.05,0,0,1,0.03,0,0,1,0.03
宮城県,40,0.74,4,0.07,5,0.09,3,0.05,1,0.02,4,0.07,3,0.05,1,0.02,2,0.04,0,0,0,0,6,0.11,1,0.02,1,0.02,0,0,4,0.08,2,0.04,1,0.02,2,0.04
秋田県,67,2.03,2,0.06,6,0.18,3,0.09,14,0.42,8,0.24,7,0.21,7,0.21,4,0.12,0,0,4,0.12,3,0.09,0,0,1,0.03,3,0.09,1,0.03,2,0.06,1,0.03,1,0.03
山形県,126,4.5,2,0.07,9,0.32,8,0.29,12,0.43,14,0.5,31,1.11,16,0.57,12,0.43,13,0.46,1,0.04,1,0.04,1,0.04,0,0,3,0.11,1,0.04,0,0,1,0.04,1,0.04
福島県,22,0.45,2,0.04,1,0.02,2,0.04,0,0,2,0.04,4,0.08,3,0.06,2,0.04,2,0.04,1,0.02,0,0,0,0,0,0,1,0.02,1,0.02,0,0,1,0.02,0,0
茨城県,54,0.72,8,0.11,4,0.05,0,0,2,0.03,0,0,2,0.03,0,0,1,0.01,5,0.07,3,0.04,2,0.03,1,0.01,2,0.03,1,0.01,3,0.04,8,0.11,9,0.12,3,0.04
栃木県,126,2.63,7,0.15,9,0.19,10,0.21,7,0.15,7,0.15,5,0.1,4,0.08,3,0.06,3,0.06,4,0.08,13,0.27,6,0.13,6,0.13,3,0.06,10,0.21,8,0.17,13,0.27,8,0.17
群馬県,620,11.92,14,0.26,14,0.26,30,0.57,17,0.32,18,0.34,11,0.21,15,0.28,10,0.19,14,0.26,22,0.42,21,0.4,28,0.53,26,0.49,41,0.77,45,0.85,78,1.47,104,1.96,112,2.24
埼玉県,251,1.55,5,0.03,12,0.07,15,0.09,13,0.08,16,0.1,14,0.09,6,0.04,13,0.08,22,0.13,5,0.03,13,0.08,8,0.05,9,0.06,8,0.05,13,0.08,17,0.1,24,0.15,38,0.24
千葉県,133,1.06,11,0.09,6,0.05,3,0.02,4,0.03,2,0.02,3,0.02,1,0.01,0,0,3,0.02,1,0.01,7,0.06,0,0,5,0.04,7,0.06,21,0.17,23,0.18,19,0.15,17,0.14
東京都,316,1.21,32,0.13,25,0.1,16,0.06,21,0.08,16,0.06,21,0.08,13,0.05,10,0.04,4,0.02,1,0,8,0.03,4,0.02,16,0.06,25,0.1,11,0.04,22,0.08,26,0.1,45,0.17
神奈川県,294,1.28,8,0.04,6,0.03,12,0.05,8,0.03,18,0.08,18,0.08,19,0.08,4,0.02,15,0.07,7,0.03,11,0.05,9,0.04,10,0.04,19,0.08,19,0.08,26,0.11,44,0.19,41,0.18
新潟県,77,1.4,7,0.13,7,0.13,4,0.07,7,0.13,13,0.24,4,0.07,1,0.02,1,0.02,1,0.02,1,0.02,0,0,0,0,0,0,4,0.07,6,0.11,6,0.11,5,0.09,10,0.18
富山県,46,1.64,3,0.1,3,0.1,5,0.17,6,0.21,6,0.21,4,0.14,4,0.14,0,0,2,0.07,1,0.03,1,0.03,0,0,2,0.07,2,0.07,0,0,1,0.04,2,0.07,4,0.14
石川県,151,5.39,3,0.11,5,0.19,2,0.07,9,0.32,13,0.46,3,0.11,8,0.28,6,0.21,3,0.1,1,0.03,7,0.24,2,0.07,14,0.48,6,0.21,11,0.38,17,0.59,19,0.66,22,0.76
福井県,556,22.24,7,0.28,5,0.2,3,0.12,5,0.2,9,0.36,9,0.36,14,0.56,41,1.64,41,1.64,27,1.08,42,1.68,34,1.36,18,0.72,22,0.88,19,0.76,60,2.4,106,4.24,94,3.76
山梨県,78,3.25,10,0.42,4,0.17,3,0.13,7,0.29,5,0.21,4,0.17,0,0,0,0,1,0.04,2,0.08,1,0.04,1,0.04,3,0.13,3,0.13,6,0.25,13,0.54,5,0.21,10,0.42
